Inf number: 1,1705.9824466705322,background,aeroplane
Inf number: 2,1670.142412185669,background,car,cow,person
Inf number: 3,1669.8567867279053,background,aeroplane
Inf number: 4,1669.9373722076416,background,person
Inf number: 5,1670.5598831176758,background,aeroplane
Inf number: 6,1667.9644584655762,background,motorbike,person
Inf number: 7,1667.954683303833,background,boat
Inf number: 8,1668.3053970336914,background,cat
Inf number: 9,1667.5779819488525,background,bottle,cat
Inf number: 10,1667.1550273895264,background,bottle,person
Inf number: 11,1666.797161102295,background,cat,dog,person
Inf number: 12,1670.1459884643555,background,chair,dog
Inf number: 13,1670.5169677734375,background,cow
Inf number: 14,1669.3944931030273,background,person
Inf number: 15,1668.2469844818115,background,bicycle,person
Inf number: 16,1668.0018901824951,background,tv
Inf number: 17,1667.6146984100342,background,person
Inf number: 18,1668.0591106414795,background,tv
Inf number: 19,1667.609453201294,background,bird
Inf number: 20,1667.921543121338,background,chair,horse,person
Inf number: 21,1668.1878566741943,background,sheep
Inf number: 22,1668.7381267547607,background,person,train
Inf number: 23,1668.2116985321045,background,train
Inf number: 24,1667.86527633667,background,aeroplane,person
Inf number: 25,1667.536973953247,background,bottle,person
Inf number: 26,1667.8359508514404,background,bird
Inf number: 27,1667.5384044647217,background,bottle,diningtable
Inf number: 28,1667.726755142212,background,train
Inf number: 29,1668.318271636963,background,boat
Inf number: 30,1667.2723293304443,background,chair,person,sofa
Inf number: 31,1668.3478355407715,background,boat
Inf number: 32,1667.888879776001,background,bicycle,car,person,pottedplant
Inf number: 33,1667.1342849731445,background,dog,horse
Inf number: 34,1668.236494064331,background,horse,person
Inf number: 35,1670.2790260314941,background,cow,dog
Inf number: 36,1669.168472290039,background,aeroplane,person
Inf number: 37,1668.8098907470703,background,tv
