,model_name,latency,thread
0,lite-model_mobilenet_v2_100_224_fp32_1,0.1560047080001823,1
1,lite-model_mobilenet_v2_100_224_fp32_1,0.081025961999785,1
2,lite-model_mobilenet_v2_100_224_fp32_1,0.0812986429996271,1
3,lite-model_mobilenet_v2_100_224_fp32_1,0.0811160369999015,1
4,lite-model_mobilenet_v2_100_224_fp32_1,0.0813571419998879,1
5,lite-model_mobilenet_v2_100_224_fp32_1,0.080754896000144,1
6,lite-model_mobilenet_v2_100_224_fp32_1,0.0807645060003778,1
7,lite-model_mobilenet_v2_100_224_fp32_1,0.0815050460000748,1
8,lite-model_mobilenet_v2_100_224_fp32_1,0.0813547730003847,1
9,lite-model_mobilenet_v2_100_224_fp32_1,0.081329439000001,1
10,lite-model_mobilenet_v2_100_224_fp32_1,0.0810110209999948,1
11,lite-model_mobilenet_v2_100_224_fp32_1,0.0810672839998005,1
12,lite-model_mobilenet_v2_100_224_fp32_1,0.0812072620001345,1
13,lite-model_mobilenet_v2_100_224_fp32_1,0.0807589749997532,1
14,lite-model_mobilenet_v2_100_224_fp32_1,0.0808096040000236,1
15,lite-model_mobilenet_v2_100_224_fp32_1,0.0810011549997398,1
16,lite-model_mobilenet_v2_100_224_fp32_1,0.0807930299997679,1
17,lite-model_mobilenet_v2_100_224_fp32_1,0.0807629930000075,1
18,lite-model_mobilenet_v2_100_224_fp32_1,0.0808646949999456,1
19,lite-model_mobilenet_v2_100_224_fp32_1,0.0808297890002904,1
20,lite-model_mobilenet_v2_100_224_fp32_1,0.0809676979997675,1
21,lite-model_mobilenet_v2_100_224_fp32_1,0.0811057880000589,1
22,lite-model_mobilenet_v2_100_224_fp32_1,0.0809988089999933,1
23,lite-model_mobilenet_v2_100_224_fp32_1,0.0808878670000012,1
24,lite-model_mobilenet_v2_100_224_fp32_1,0.0809766610000224,1
25,lite-model_mobilenet_v2_100_224_fp32_1,0.080862144999628,1
26,lite-model_mobilenet_v2_100_224_fp32_1,0.0809625129995765,1
27,lite-model_mobilenet_v2_100_224_fp32_1,0.0808184239999718,1
28,lite-model_mobilenet_v2_100_224_fp32_1,0.0817265350001434,1
29,lite-model_mobilenet_v2_100_224_fp32_1,0.0809371109999119,1
30,lite-model_mobilenet_v2_100_224_fp32_1,0.0810308689997327,1
31,lite-model_mobilenet_v2_100_224_fp32_1,0.0809843150000233,1
32,lite-model_mobilenet_v2_100_224_fp32_1,0.0810994040002697,1
33,lite-model_mobilenet_v2_100_224_fp32_1,0.0810273700003563,1
34,lite-model_mobilenet_v2_100_224_fp32_1,0.0808362070001749,1
35,lite-model_mobilenet_v2_100_224_fp32_1,0.0807615600001554,1
36,lite-model_mobilenet_v2_100_224_fp32_1,0.0808565950001138,1
37,lite-model_mobilenet_v2_100_224_fp32_1,0.0810401100002309,1
38,lite-model_mobilenet_v2_100_224_fp32_1,0.0809529289999773,1
39,lite-model_mobilenet_v2_100_224_fp32_1,0.0812410550001914,1
40,lite-model_mobilenet_v2_100_224_fp32_1,0.0811237990001245,1
41,lite-model_mobilenet_v2_100_224_fp32_1,0.0811542239998743,1
42,lite-model_mobilenet_v2_100_224_fp32_1,0.0809907639995799,1
43,lite-model_mobilenet_v2_100_224_fp32_1,0.0807328809996761,1
44,lite-model_mobilenet_v2_100_224_fp32_1,0.0811209650000819,1
45,lite-model_mobilenet_v2_100_224_fp32_1,0.0809251360001326,1
46,lite-model_mobilenet_v2_100_224_fp32_1,0.0810418930000196,1
47,lite-model_mobilenet_v2_100_224_fp32_1,0.0809305070001755,1
48,lite-model_mobilenet_v2_100_224_fp32_1,0.080889807999938,1
49,lite-model_mobilenet_v2_100_224_fp32_1,0.0808196429998133,1
50,lite-model_mobilenet_v2_100_224_fp32_1,0.0810266950002187,1
51,lite-model_mobilenet_v2_100_224_fp32_1,0.0808452539999962,1
52,lite-model_mobilenet_v2_100_224_fp32_1,0.080923530000291,1
53,lite-model_mobilenet_v2_100_224_fp32_1,0.0808380869998472,1
54,lite-model_mobilenet_v2_100_224_fp32_1,0.0809060500000669,1
55,lite-model_mobilenet_v2_100_224_fp32_1,0.0807033129999581,1
56,lite-model_mobilenet_v2_100_224_fp32_1,0.0810590639998736,1
57,lite-model_mobilenet_v2_100_224_fp32_1,0.0808229079998454,1
58,lite-model_mobilenet_v2_100_224_fp32_1,0.0810028490000149,1
59,lite-model_mobilenet_v2_100_224_fp32_1,0.0808807960002013,1
60,lite-model_mobilenet_v2_100_224_fp32_1,0.0809705709998525,1
