                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.75548,                 2.9722,                 1.2901,                0.93646,                0.81124,                 0.9293,                0.73584,                 1.1269,                0.62688,                 1.1589,                      0,                      0,                      0
                      2,                 1.0205,                 2.2531,                 1.4985,                0.93627,                0.81131,                0.92932,                0.73438,                 1.1166,                 0.6194,                 1.1522,             1.1782e-06,             1.1782e-06,             1.1782e-06
                      3,                0.67771,                 1.9929,                 1.1873,                0.93365,                0.81229,                0.92935,                0.73444,                 1.1033,                0.60649,                 1.1458,             2.3329e-06,             2.3329e-06,             2.3329e-06
                      4,                 0.9801,                 2.0631,                 1.4569,                0.93151,                0.81278,                0.93102,                0.73599,                 1.0876,                 0.5987,                 1.1383,              3.464e-06,              3.464e-06,              3.464e-06
                      5,                 0.7762,                0.98756,                 1.1264,                0.94045,                0.81309,                0.92904,                0.73447,                 1.0798,                 0.5975,                 1.1336,             4.5715e-06,             4.5715e-06,             4.5715e-06
                      6,                0.79793,                 1.5642,                 1.2549,                 0.9379,                0.81415,                0.92735,                0.73561,                 1.0765,                0.60074,                 1.1313,             5.6555e-06,             5.6555e-06,             5.6555e-06
                      7,                 0.7823,                 1.1747,                 1.2053,                0.93343,                0.81597,                0.92737,                0.73647,                 1.0707,                0.61273,                 1.1284,             6.7159e-06,             6.7159e-06,             6.7159e-06
                      8,                  0.861,                0.99367,                 1.4389,                0.92652,                0.81811,                0.92736,                0.73677,                 1.0842,                0.60605,                 1.1346,             7.7527e-06,             7.7527e-06,             7.7527e-06
                      9,                0.77517,                0.62809,                 1.3075,                0.92042,                0.81922,                0.92939,                0.73923,                 1.1078,                0.61138,                  1.143,              8.766e-06,              8.766e-06,              8.766e-06
                     10,                0.79033,                 1.0926,                 1.3701,                0.91558,                0.82024,                0.92945,                0.72571,                 1.1189,                0.61026,                 1.1466,             9.7557e-06,             9.7557e-06,             9.7557e-06
                     11,                0.62226,                0.73346,                 1.0603,                0.88688,                0.82073,                0.93153,                0.72708,                 1.1161,                0.60424,                 1.1436,             1.0722e-05,             1.0722e-05,             1.0722e-05
                     12,                0.69961,                0.76337,                 1.0424,                0.88262,                0.82035,                0.93154,                0.72475,                 1.1176,                0.60334,                 1.1441,             1.1664e-05,             1.1664e-05,             1.1664e-05
                     13,                0.65276,                 0.6241,                 1.1225,                 0.8786,                0.82059,                0.93155,                0.73458,                 1.1136,                0.61645,                 1.1439,             1.2584e-05,             1.2584e-05,             1.2584e-05
                     14,                0.82576,                  1.041,                 1.3166,                0.88128,                0.81958,                0.93155,                0.73142,                 1.0977,                 0.6093,                 1.1323,             1.3479e-05,             1.3479e-05,             1.3479e-05
                     15,                0.49829,                0.50164,                 1.0361,                0.87478,                0.81897,                0.93154,                0.72834,                 1.1233,                0.63666,                 1.1447,             1.4351e-05,             1.4351e-05,             1.4351e-05
                     16,                0.58587,                 0.7692,                 1.1025,                0.87445,                0.81849,                0.93458,                0.73531,                 1.1145,                0.63104,                 1.1417,             1.5199e-05,             1.5199e-05,             1.5199e-05
                     17,                0.67075,                0.51396,                 1.2046,                0.86888,                0.81859,                0.93457,                0.73492,                 1.1219,                   0.65,                 1.1435,             1.6024e-05,             1.6024e-05,             1.6024e-05
                     18,                0.54128,                0.51991,                  1.146,                0.86888,                0.81859,                0.93457,                0.73492,                 1.1219,                   0.65,                 1.1435,             1.6825e-05,             1.6825e-05,             1.6825e-05
                     19,                0.74665,                0.86706,                 1.3097,                0.92238,                0.79295,                0.93457,                0.73188,                 1.1281,                0.66743,                 1.1497,             1.7603e-05,             1.7603e-05,             1.7603e-05
                     20,                0.59709,                0.58493,                 1.1532,                0.92238,                0.79295,                0.93457,                0.73188,                 1.1281,                0.66743,                 1.1497,             1.8357e-05,             1.8357e-05,             1.8357e-05
