         3472141 function calls (3350888 primitive calls) in 10.198 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.544    0.544 /home/pi/.local/lib/python3.8/site-packages/torch/profiler/profiler.py:484(stop)
        1    0.000    0.000    0.543    0.543 /home/pi/.local/lib/python3.8/site-packages/torch/profiler/profiler.py:117(stop_trace)
        1    0.000    0.000    0.543    0.543 /home/pi/.local/lib/python3.8/site-packages/torch/autograd/profiler.py:223(__exit__)
       14    0.000    0.000    0.543    0.039 /home/pi/.local/lib/python3.8/site-packages/pkg_resources/__init__.py:957(require)
       14    0.001    0.000    0.539    0.039 /home/pi/.local/lib/python3.8/site-packages/pkg_resources/__init__.py:771(resolve)
      112    0.002    0.000    0.539    0.005 /home/pi/.local/lib/python3.8/site-packages/matplotlib/artist.py:1841(kwdoc)
        8    0.000    0.000    0.538    0.067 /home/pi/.local/lib/python3.8/site-packages/torch/nn/modules/container.py:202(forward)
       11    0.011    0.001    0.537    0.049 /home/pi/.cache/torch/hub/ultralytics_yolov5_master/models/common.py:119(forward)
      870    0.023    0.000    0.524    0.001 <frozen importlib._bootstrap_external>:914(get_code)
        1    0.000    0.000    0.512    0.512 /home/pi/.local/lib/python3.8/site-packages/matplotlib/projections/__init__.py:1(<module>)
       69    0.000    0.000    0.504    0.007 /home/pi/.local/lib/python3.8/site-packages/pkg_resources/__init__.py:2819(requires)
       55    0.000    0.000    0.497    0.009 /home/pi/.local/lib/python3.8/site-packages/pkg_resources/__init__.py:3102(_dep_map)
       26    0.002    0.000    0.496    0.019 /home/pi/.local/lib/python3.8/site-packages/pkg_resources/__init__.py:3110(_compute_dependencies)
        1    0.000    0.000    0.493    0.493 /home/pi/.local/lib/python3.8/site-packages/scipy/stats/distributions.py:8(<module>)
        1    0.000    0.000    0.465    0.465 /home/pi/.local/lib/python3.8/site-packages/torch/hub.py:174(_get_cache_or_reload)
        1    0.000    0.000    0.463    0.463 /home/pi/.local/lib/python3.8/site-packages/torch/hub.py:122(_parse_repo_info)
        1    0.000    0.000    0.462    0.462 /usr/lib/python3.8/urllib/request.py:139(urlopen)
        1    0.000    0.000    0.460    0.460 /usr/lib/python3.8/urllib/request.py:506(open)
        4    0.000    0.000    0.459    0.115 /usr/lib/python3.8/urllib/request.py:495(_call_chain)
        1    0.000    0.000    0.459    0.459 /usr/lib/python3.8/urllib/request.py:535(_open)
        1    0.000    0.000    0.459    0.459 /usr/lib/python3.8/urllib/request.py:1396(https_open)
        1    0.000    0.000    0.459    0.459 /usr/lib/python3.8/urllib/request.py:1313(do_open)
      112    0.015    0.000    0.458    0.004 /home/pi/.local/lib/python3.8/site-packages/matplotlib/artist.py:1602(pprint_setters)
     1779    0.005    0.000    0.444    0.000 /usr/lib/python3.8/posixpath.py:387(realpath)
        1    0.000    0.000    0.440    0.440 /home/pi/.local/lib/python3.8/site-packages/matplotlib/colorbar.py:1(<module>)
      114    0.437    0.004    0.437    0.004 {built-in method torch.mm}
1781/1779    0.055    0.000    0.402    0.000 /usr/lib/python3.8/posixpath.py:396(_joinrealpath)
251644/250997    0.249    0.000    0.379    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.377    0.377 /home/pi/.local/lib/python3.8/site-packages/scipy/spatial/__init__.py:1(<module>)
     4050    0.032    0.000    0.372    0.000 /home/pi/.local/lib/python3.8/site-packages/matplotlib/artist.py:1474(get_valid_values)
       57    0.003    0.000    0.362    0.006 /home/pi/.local/lib/python3.8/site-packages/torch/nn/modules/conv.py:431(__init__)
        1    0.242    0.242    0.361    0.361 /home/pi/.local/lib/python3.8/site-packages/torch/autograd/profiler.py:310(_parse_kineto_results)
       57    0.008    0.000    0.353    0.006 /home/pi/.local/lib/python3.8/site-packages/torch/nn/modules/conv.py:71(__init__)
        1    0.000    0.000    0.349    0.349 /home/pi/.local/lib/python3.8/site-packages/pandas/core/api.py:1(<module>)
        1    0.000    0.000    0.319    0.319 /home/pi/.local/lib/python3.8/site-packages/pkg_resources/__init__.py:1(<module>)
        1    0.000    0.000    0.317    0.317 /home/pi/.local/lib/python3.8/site-packages/torch/profiler/profiler.py:155(key_averages)
        1    0.000    0.000    0.317    0.317 /home/pi/.local/lib/python3.8/site-packages/torch/autograd/profiler.py:289(key_averages)
        1    0.005    0.005    0.317    0.317 /home/pi/.local/lib/python3.8/site-packages/torch/autograd/profiler_util.py:262(key_averages)
      870    0.007    0.000    0.308    0.000 <frozen importlib._bootstrap_external>:638(_compile_bytecode)
