                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.75485,                 2.9669,                  1.289,                0.93646,                0.81124,                 0.9293,                0.73584,                 1.1269,                0.62688,                 1.1589,                      0,                      0,                      0
                      2,                 1.0202,                 2.2529,                 1.4981,                0.93627,                0.81131,                0.92932,                0.73438,                 1.1166,                0.61941,                 1.1522,             1.1782e-06,             1.1782e-06,             1.1782e-06
                      3,                0.67833,                 1.9919,                 1.1872,                0.93366,                0.81229,                0.92935,                0.73444,                 1.1033,                0.60657,                 1.1458,             2.3329e-06,             2.3329e-06,             2.3329e-06
                      4,                0.95796,                 2.0772,                 1.4342,                0.93153,                0.81278,                0.93102,                0.73599,                 1.0877,                0.59883,                 1.1383,              3.464e-06,              3.464e-06,              3.464e-06
                      5,                0.77635,                0.98777,                 1.1265,                0.94047,                0.81308,                0.92904,                0.73447,                 1.0794,                0.59855,                 1.1341,             4.5715e-06,             4.5715e-06,             4.5715e-06
                      6,                0.79696,                 1.5636,                 1.2543,                0.93794,                0.81413,                0.92735,                0.73561,                 1.0769,                0.60129,                 1.1316,             5.6555e-06,             5.6555e-06,             5.6555e-06
                      7,                0.78261,                 1.1759,                 1.2056,                 0.9335,                0.81595,                0.92737,                0.73641,                 1.0716,                0.61333,                 1.1288,             6.7159e-06,             6.7159e-06,             6.7159e-06
                      8,                0.84871,                 1.0184,                 1.4269,                0.92663,                0.81811,                0.92736,                0.73677,                 1.0835,                0.60694,                 1.1343,             7.7527e-06,             7.7527e-06,             7.7527e-06
                      9,                0.77498,                0.63432,                 1.3075,                0.92047,                0.81923,                0.92939,                0.73906,                 1.1053,                0.61342,                 1.1439,              8.766e-06,              8.766e-06,              8.766e-06
                     10,                0.79243,                 1.0971,                 1.3711,                0.91592,                0.82025,                0.92945,                0.72571,                 1.1206,                0.61226,                 1.1475,             9.7557e-06,             9.7557e-06,             9.7557e-06
                     11,                0.62337,                0.73244,                 1.0609,                0.88773,                0.82066,                0.93154,                0.72724,                 1.1174,                0.60443,                 1.1442,             1.0722e-05,             1.0722e-05,             1.0722e-05
                     12,                0.70061,                0.76787,                  1.041,                0.88307,                0.82049,                0.93157,                0.72479,                 1.1181,                0.60249,                 1.1445,             1.1664e-05,             1.1664e-05,             1.1664e-05
                     13,                0.65337,                 0.6359,                 1.1252,                0.87921,                0.82019,                0.93158,                0.73462,                 1.1157,                0.61614,                 1.1443,             1.2584e-05,             1.2584e-05,             1.2584e-05
                     14,                0.84422,                 1.0544,                 1.3236,                0.87419,                0.82001,                0.93154,                0.72596,                 1.1058,                0.61766,                 1.1366,             1.3479e-05,             1.3479e-05,             1.3479e-05
                     15,                  0.501,                0.50982,                 1.0333,                0.87748,                0.81871,                0.93158,                0.72463,                 1.0966,                0.62909,                 1.1322,             1.4351e-05,             1.4351e-05,             1.4351e-05
                     16,                0.58242,                0.77797,                 1.1038,                0.87212,                0.81914,                0.93278,                0.73559,                 1.1159,                0.64699,                 1.1454,             1.5199e-05,             1.5199e-05,             1.5199e-05
                     17,                0.67853,                0.52411,                  1.218,                 0.8698,                0.81907,                 0.9346,                0.73502,                 1.1155,                0.67139,                 1.1483,             1.6024e-05,             1.6024e-05,             1.6024e-05
                     18,                0.54507,                0.51916,                 1.1282,                 0.8698,                0.81907,                 0.9346,                0.73502,                 1.1155,                0.67139,                 1.1483,             1.6825e-05,             1.6825e-05,             1.6825e-05
                     19,                 0.7591,                0.93839,                 1.3196,                0.88868,                0.81182,                0.93463,                0.74652,                 1.1169,                0.68451,                 1.1573,             1.7603e-05,             1.7603e-05,             1.7603e-05
                     20,                0.58778,                0.56847,                 1.1558,                0.88868,                0.81182,                0.93463,                0.74652,                 1.1169,                0.68451,                 1.1573,             1.8357e-05,             1.8357e-05,             1.8357e-05
                     21,                0.54449,                0.46992,                 1.0474,                0.91699,                0.79765,                0.93456,                0.74456,                 1.1321,                 0.7401,                 1.1706,             1.9088e-05,             1.9088e-05,             1.9088e-05
                     22,                0.66604,                0.44524,                 1.1922,                0.91699,                0.79765,                0.93456,                0.74456,                 1.1321,                 0.7401,                 1.1706,             1.9795e-05,             1.9795e-05,             1.9795e-05
                     23,                0.67806,                0.44674,                 1.1071,                0.83121,                0.82342,                 0.9485,                0.74536,                 1.1258,                0.80864,                  1.165,             2.0478e-05,             2.0478e-05,             2.0478e-05
                     24,                0.52286,                0.63652,                 1.0034,                0.83121,                0.82342,                 0.9485,                0.74536,                 1.1258,                0.80864,                  1.165,             2.1138e-05,             2.1138e-05,             2.1138e-05
                     25,                 0.7067,                0.49387,                 1.1453,                 0.7767,                0.83214,                0.94982,                0.74755,                 1.1296,                0.84218,                 1.1707,             2.1774e-05,             2.1774e-05,             2.1774e-05
                     26,                0.57799,                0.57773,                 1.0822,                 0.7767,                0.83214,                0.94982,                0.74755,                 1.1296,                0.84218,                 1.1707,             2.2387e-05,             2.2387e-05,             2.2387e-05
                     27,                0.63035,                0.46917,                  1.077,                0.71901,                0.88333,                0.92066,                 0.7322,                  1.164,                 0.9498,                 1.1882,             2.2976e-05,             2.2976e-05,             2.2976e-05
                     28,                0.56293,                0.39558,                0.99362,                0.71901,                0.88333,                0.92066,                 0.7322,                  1.164,                 0.9498,                 1.1882,             2.3542e-05,             2.3542e-05,             2.3542e-05
                     29,                0.49124,                0.41623,                 0.9845,                0.68108,                0.88333,                0.94847,                0.72712,                 1.1737,                 1.0779,                 1.1997,             2.4084e-05,             2.4084e-05,             2.4084e-05
                     30,                0.57998,                 0.4502,                 1.1034,                0.68108,                0.88333,                0.94847,                0.72712,                 1.1737,                 1.0779,                 1.1997,             2.4602e-05,             2.4602e-05,             2.4602e-05
                     31,                0.41133,                0.42337,                0.90681,                0.70194,                0.76121,                0.94854,                0.72562,                  1.168,                 1.2005,                 1.2018,             2.5097e-05,             2.5097e-05,             2.5097e-05
                     32,                 0.3986,                0.31554,                0.88613,                0.70194,                0.76121,                0.94854,                0.72562,                  1.168,                 1.2005,                 1.2018,             2.5568e-05,             2.5568e-05,             2.5568e-05
                     33,                0.74657,                0.81508,                 1.3181,                0.68219,                0.71667,                0.82409,                0.64407,                 1.1806,                 1.3082,                  1.212,             2.6016e-05,             2.6016e-05,             2.6016e-05
                     34,                0.62602,                0.53553,                 1.1626,                0.68219,                0.71667,                0.82409,                0.64407,                 1.1806,                 1.3082,                  1.212,              2.644e-05,              2.644e-05,              2.644e-05
                     35,                 0.5271,                0.38106,                 1.0173,                0.68337,                0.71667,                0.81575,                0.64206,                 1.1955,                 1.4119,                 1.2229,             2.6841e-05,             2.6841e-05,             2.6841e-05
                     36,                0.45664,                0.37931,                 1.0066,                0.68337,                0.71667,                0.81575,                0.64206,                 1.1955,                 1.4119,                 1.2229,             2.7218e-05,             2.7218e-05,             2.7218e-05
                     37,                0.56802,                0.51246,                 1.0165,                0.71489,                0.71667,                0.81577,                 0.6338,                 1.2162,                 1.4826,                 1.2455,             2.7572e-05,             2.7572e-05,             2.7572e-05
                     38,                0.50351,                0.46899,                  1.058,                0.71489,                0.71667,                0.81577,                 0.6338,                 1.2162,                 1.4826,                 1.2455,             2.7902e-05,             2.7902e-05,             2.7902e-05
                     39,                0.53523,                0.59691,                 1.1687,                0.74479,                   0.55,                0.77427,                0.60037,                  1.219,                 1.5087,                 1.2606,             2.8208e-05,             2.8208e-05,             2.8208e-05
                     40,                0.36095,                0.27824,                0.88203,                0.74479,                   0.55,                0.77427,                0.60037,                  1.219,                 1.5087,                 1.2606,             2.8491e-05,             2.8491e-05,             2.8491e-05
                     41,                0.64951,                0.79341,                 1.1756,                 0.7457,                   0.55,                0.77438,                0.59881,                 1.2568,                 1.5521,                 1.2861,              2.875e-05,              2.875e-05,              2.875e-05
                     42,                0.73934,                0.50141,                 1.2435,                 0.7457,                   0.55,                0.77438,                0.59881,                 1.2568,                 1.5521,                 1.2861,             2.8986e-05,             2.8986e-05,             2.8986e-05
                     43,                0.43813,                0.36607,                 1.0272,                0.74339,                   0.55,                 0.7495,                0.56975,                 1.2554,                 1.5356,                 1.2894,             2.9198e-05,             2.9198e-05,             2.9198e-05
