wool.jpg,70.351963,knot,617,[3.0318832024931908],nematode,112,[4.5424699783325195],tennis ball,853,[11.183376610279083]
wine_bottle.jpg,51.384536999999995,red wine,967,[1.2552261352539062],lotion,632,[8.925247937440872],wine bottle,908,[77.13330388069153]
stone_wall.jpg,54.759852,lumbermill,635,[0.016676854284014553],megalith,650,[0.15238473424687982],stone wall,826,[99.11723732948303]
test 2.jpg,51.198482000000006,tiger cat,283,[8.048394322395325],tabby,282,[12.099971622228622],Egyptian cat,286,[68.82902383804321]
tractor.jpg,51.3255,plow,731,[2.640749141573906],harvester,596,[3.455711528658867],tractor,867,[86.04539036750793]
sheperd.jpg,51.266591999999996,Labrador retriever,209,[2.5339942425489426],Chesapeake Bay retriever,210,[3.3404022455215454],kuvasz,223,[33.626943826675415]
tv_2.jpg,53.184371,web site,917,[3.7462376058101654],lab coat,618,[9.046273678541183],lumbermill,635,[5.569039285182953]
tv.jpg,70.013907,monitor,665,[4.898608475923538],screen,783,[22.988563776016235],television,852,[59.87054109573364]
test.jpg,52.656684999999996,tiger cat,283,[8.048399537801743],tabby,282,[12.09997907280922],Egyptian cat,286,[68.82900595664978]
tennis_ball.jpg,52.376055,nail,678,[1.153305545449257],bottlecap,456,[2.722216211259365],tennis ball,853,[84.55606698989868]
