,model_name,latency,thread
0,yolov5l,9.115115340999182,3.0
1,yolov5l,4.070334559000912,3.0
2,yolov5l,4.071065494999857,3.0
3,yolov5l,4.066715369001031,3.0
4,yolov5l,4.062170211000193,3.0
5,yolov5l,4.066797957000745,3.0
6,yolov5l,4.068330736999997,3.0
7,yolov5l,4.064403604999825,3.0
8,yolov5l,4.065261986001133,3.0
9,yolov5l,4.06836822600053,3.0
10,yolov5l,4.060266397000305,3.0
11,yolov5l,4.065545122999538,3.0
12,yolov5l,4.055960581999898,3.0
13,yolov5l,4.065729485999327,3.0
14,yolov5l,4.0486349260008865,3.0
15,yolov5l,4.067635351999343,3.0
16,yolov5l,4.059173510000619,3.0
17,yolov5l,4.051808084001095,3.0
18,yolov5l,4.061046315000567,3.0
19,yolov5l,4.064369170000646,3.0
20,yolov5l,4.064663829998608,3.0
21,yolov5l,4.061106410999855,3.0
22,yolov5l,4.061715063999145,3.0
23,yolov5l,4.068581778999942,3.0
24,yolov5l,4.066160750999188,3.0
25,yolov5l,4.065929716000028,3.0
26,yolov5l,4.054161403000762,3.0
27,yolov5l,4.076520692999111,3.0
28,yolov5l,4.058264334998967,3.0
29,yolov5l,4.059856560999833,3.0
30,yolov5l,4.0562226609999925,3.0
31,yolov5l,4.056493742000384,3.0
32,yolov5l,4.0645723109992105,3.0
33,yolov5l,4.062795750998703,3.0
34,yolov5l,4.072308150000026,3.0
35,yolov5l,4.0632029739990685,3.0
36,yolov5l,4.060467638000773,3.0
37,yolov5l,4.068199766999896,3.0
38,yolov5l,4.057267501999377,3.0
39,yolov5l,4.050527852999949,3.0
40,yolov5l,4.057884362999175,3.0
41,yolov5l,4.062651000000187,3.0
42,yolov5l,4.055022978000125,3.0
43,yolov5l,4.052344222000102,3.0
44,yolov5l,4.06499693799924,3.0
45,yolov5l,4.060455066000941,3.0
46,yolov5l,4.066236177000974,3.0
47,yolov5l,4.061004683000647,3.0
48,yolov5l,4.0651787759998115,3.0
49,yolov5l,4.063423865000004,3.0
50,yolov5l,4.059314969999832,3.0
51,yolov5l,4.065824847999465,3.0
52,yolov5l,4.06411910800125,3.0
53,yolov5l,4.0632767290007905,3.0
54,yolov5l,4.0621852860003855,3.0
55,yolov5l,4.0646835709994775,3.0
56,yolov5l,4.067517746001613,3.0
57,yolov5l,4.058600951999324,3.0
58,yolov5l,4.063231939999241,3.0
59,yolov5l,4.051125237001543,3.0
60,yolov5l,4.068701408999914,3.0
61,yolov5l,4.061809594999431,3.0
62,yolov5l,4.063913661000697,3.0
63,yolov5l,4.06452640399948,3.0
64,yolov5l,4.0535328700007085,3.0
65,yolov5l,4.041752995999559,3.0
66,yolov5l,4.0529138350011635,3.0
67,yolov5l,4.0669830740007455,3.0
68,yolov5l,4.060203156999705,3.0
69,yolov5l,4.062312536998434,3.0
70,yolov5l,4.065771460000178,3.0
71,yolov5l,4.056860171998778,3.0
72,yolov5l,4.062433193999823,3.0
73,yolov5l,4.060489106999739,3.0
74,yolov5l,4.056984701999681,3.0
75,yolov5l,4.065891710000869,3.0
76,yolov5l,4.05580031199861,3.0
77,yolov5l,4.058507199000815,3.0
78,yolov5l,4.06054724400019,3.0
79,yolov5l,4.0619862229996215,3.0
80,yolov5l,4.070806153000376,3.0
81,yolov5l,4.063633085999754,3.0
82,yolov5l,4.063657308999609,3.0
83,yolov5l,4.063935944999685,3.0
84,yolov5l,4.066455121999752,3.0
85,yolov5l,4.064015619998827,3.0
86,yolov5l,4.059033751998868,3.0
87,yolov5l,4.059946568999294,3.0
88,yolov5l,4.058067034000487,3.0
89,yolov5l,4.061430865000148,3.0
90,yolov5l,4.056187090000094,3.0
91,yolov5l,4.044622212999457,3.0
92,yolov5l,4.0628481509993435,3.0
93,yolov5l,4.053874668999924,3.0
94,yolov5l,4.06223274200056,3.0
95,yolov5l,4.059536894001212,3.0
96,yolov5l,4.058538892000797,3.0
97,yolov5l,4.063306087000456,3.0
98,yolov5l,4.067894364001404,3.0
99,yolov5l,4.0582562669987965,3.0
100,yolov5l,4.068167019999237,3.0
101,yolov5l,4.065906694999285,3.0
102,yolov5l,4.061549185000331,3.0
103,yolov5l,4.066880512000353,3.0
104,yolov5l,4.061036156999762,3.0
105,yolov5l,4.060161684999912,3.0
106,yolov5l,4.061180181999589,3.0
107,yolov5l,4.057284676000563,3.0
108,yolov5l,4.061168225000074,3.0
109,yolov5l,4.063908492000337,3.0
110,yolov5l,4.069567366999763,3.0
111,yolov5l,4.066798523999751,3.0
112,yolov5l,4.06218355800047,3.0
113,yolov5l,4.058505863000391,3.0
114,yolov5l,4.061182808000012,3.0
115,yolov5l,4.064298178000172,3.0
116,yolov5l,4.062941059000877,3.0
117,yolov5l,4.049265927000306,3.0
118,yolov5l,4.066515590999188,3.0
119,yolov5l,4.055326308000076,3.0
120,yolov5l,4.062702757999432,3.0
121,yolov5l,4.061200784000903,3.0
122,yolov5l,4.055477142001109,3.0
123,yolov5l,4.061649547998968,3.0
124,yolov5l,4.06227975299953,3.0
125,yolov5l,4.06706188499993,3.0
126,yolov5l,4.059245401000226,3.0
127,yolov5l,4.059608612000375,3.0
128,yolov5l,4.06647031600005,3.0
129,yolov5l,4.065048473001298,3.0
130,yolov5l,4.0590494940006465,3.0
131,yolov5l,4.052922611001122,3.0
132,yolov5l,4.059982595999827,3.0
133,yolov5l,4.064229240000714,3.0
134,yolov5l,4.054878158000065,3.0
135,yolov5l,4.059746252998593,3.0
136,yolov5l,4.062429126999632,3.0
137,yolov5l,4.062927001999924,3.0
138,yolov5l,4.058292707999499,3.0
139,yolov5l,4.059867107998798,3.0
140,yolov5l,4.059772799999337,3.0
141,yolov5l,4.061688366999078,3.0
142,yolov5l,4.057460160000119,3.0
143,yolov5l,4.055217458000698,3.0
144,yolov5l,4.060264570998697,3.0
145,yolov5l,4.061294003999137,3.0
146,yolov5l,4.05639728299866,3.0
147,yolov5l,4.064255049001076,3.0
148,yolov5l,4.058372052000777,3.0
149,yolov5l,4.060874397000589,3.0
150,yolov5l,4.055439303001549,3.0
151,yolov5l,4.045394569999189,3.0
152,yolov5l,4.061617104000106,3.0
153,yolov5l,4.061172106999948,3.0
154,yolov5l,4.0678078640012245,3.0
155,yolov5l,4.059370871000283,3.0
156,yolov5l,4.2716517859989835,3.0
157,yolov5l,4.064381477999632,3.0
158,yolov5l,4.0616751269990345,3.0
