model_name,os,api,inference type,latency avg,top1,top5,map,miou,latency,thread count
yolov5l,ubuntus,ov,det,4.066462258347991,,,,,/Users/marounel-chayeb/BacArbeit/final_results/results/det/ov/yolov5l/yolov5l_ov_det_2024_5_16_14_58_ubuntus_3_onlylat.csv,3
yolov5l,ubuntus,ov,det,3.235446550122033,,,,,/Users/marounel-chayeb/BacArbeit/final_results/results/det/ov/yolov5l/yolov5l_ov_det_2024_5_16_20_54_ubuntus_4_onlylat.csv,4
