                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.0123,                  1.353,                 1.4751,                0.97764,                0.51986,                0.88163,                0.66542,                 1.3356,                 1.3919,                 1.2705,             2.6016e-05,             2.6016e-05,             2.6016e-05
                     34,                0.87533,                0.96836,                 1.3481,                0.97764,                0.51986,                0.88163,                0.66542,                 1.3356,                 1.3919,                 1.2705,              2.644e-05,              2.644e-05,              2.644e-05
                     35,                0.63754,                0.59375,                 1.1411,                0.97331,                0.51988,                0.88035,                0.66604,                 1.3494,                 1.4212,                 1.2788,             2.6841e-05,             2.6841e-05,             2.6841e-05
                     36,                0.59095,                0.78982,                 1.0733,                0.97331,                0.51988,                0.88035,                0.66604,                 1.3494,                 1.4212,                 1.2788,             2.7218e-05,             2.7218e-05,             2.7218e-05
                     37,                0.72123,                0.88834,                 1.0938,                 0.8683,                0.56996,                0.88013,                0.66641,                 1.3774,                 1.4721,                 1.2936,             2.7572e-05,             2.7572e-05,             2.7572e-05
                     38,                 0.5658,                0.62569,                 1.1193,                 0.8683,                0.56996,                0.88013,                0.66641,                 1.3774,                 1.4721,                 1.2936,             2.7902e-05,             2.7902e-05,             2.7902e-05
                     39,                0.69223,                  1.105,                 1.2471,                0.87303,                0.56872,                0.88356,                0.66688,                 1.3708,                 1.4644,                 1.2898,             2.8208e-05,             2.8208e-05,             2.8208e-05
                     40,                0.66872,                0.56566,                0.99097,                0.87303,                0.56872,                0.88356,                0.66688,                 1.3708,                 1.4644,                 1.2898,             2.8491e-05,             2.8491e-05,             2.8491e-05
                     41,                0.84203,                 1.0456,                 1.4238,                 0.8802,                0.56065,                0.87972,                0.66401,                 1.3898,                 1.4851,                 1.2946,              2.875e-05,              2.875e-05,              2.875e-05
                     42,                0.88765,                0.96173,                 1.2039,                 0.8802,                0.56065,                0.87972,                0.66401,                 1.3898,                 1.4851,                 1.2946,             2.8986e-05,             2.8986e-05,             2.8986e-05
                     43,                0.57017,                0.86564,                 1.1496,                 0.9136,                0.56361,                0.78949,                0.58554,                  1.407,                 1.5116,                 1.2997,             2.9198e-05,             2.9198e-05,             2.9198e-05
                     44,                0.68033,                0.64902,                   1.17,                 0.9136,                0.56361,                0.78949,                0.58554,                  1.407,                 1.5116,                 1.2997,             2.9387e-05,             2.9387e-05,             2.9387e-05
                     45,                0.62145,                 0.6506,                 1.0469,                0.92003,                0.55648,                0.79551,                0.58064,                 1.4222,                 1.5602,                 1.3091,             2.9552e-05,             2.9552e-05,             2.9552e-05
                     46,                0.77963,                0.73397,                 1.2545,                0.92003,                0.55648,                0.79551,                0.58064,                 1.4222,                 1.5602,                 1.3091,             2.9693e-05,             2.9693e-05,             2.9693e-05
                     47,                 0.6643,                0.52598,                 1.1033,                0.91743,                0.55569,                0.80057,                0.57781,                 1.4285,                 1.5737,                 1.3175,             2.9811e-05,             2.9811e-05,             2.9811e-05
                     48,                0.76446,                0.91875,                 1.1553,                0.91743,                0.55569,                0.80057,                0.57781,                 1.4285,                 1.5737,                 1.3175,             2.9906e-05,             2.9906e-05,             2.9906e-05
                     49,                0.63866,                0.41431,                 1.1619,                  0.916,                0.55483,                 0.8024,                0.57455,                 1.4415,                 1.6033,                 1.3273,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     50,                0.64174,                0.58551,                 1.0801,                  0.916,                0.55483,                 0.8024,                0.57455,                 1.4415,                 1.6033,                 1.3273,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     51,                0.47585,                0.74793,                 0.9141,                0.91652,                0.55325,                0.71857,                0.50794,                 1.4405,                 1.6101,                 1.3236,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     52,                0.78642,                0.89683,                 1.3268,                0.91652,                0.55325,                0.71857,                0.50794,                 1.4405,                 1.6101,                 1.3236,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     53,                 1.0701,                0.99602,                  1.436,                0.91652,                0.55325,                0.71857,                0.50794,                 1.4405,                 1.6101,                 1.3236,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     54,                0.80962,                0.93606,                 1.1875,                0.91881,                0.55231,                0.71299,                 0.5071,                 1.4504,                 1.6101,                 1.3261,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     55,                0.58705,                0.59369,                 1.0041,                0.91881,                0.55231,                0.71299,                 0.5071,                 1.4504,                 1.6101,                 1.3261,             2.9907e-05,             2.9907e-05,             2.9907e-05
                     56,                0.95555,                 0.6958,                 1.3401,                0.91881,                0.55231,                0.71299,                 0.5071,                 1.4504,                 1.6101,                 1.3261,             2.9812e-05,             2.9812e-05,             2.9812e-05
                     57,                 0.7328,                 0.6203,                  1.222,                0.91648,                0.55178,                0.72178,                0.51658,                 1.4705,                 1.6234,                 1.3325,             2.9695e-05,             2.9695e-05,             2.9695e-05
                     58,                0.67547,                0.66103,                 1.1387,                0.91648,                0.55178,                0.72178,                0.51658,                 1.4705,                 1.6234,                 1.3325,             2.9554e-05,             2.9554e-05,             2.9554e-05
                     59,                0.59305,                0.56438,                 1.1023,                0.91648,                0.55178,                0.72178,                0.51658,                 1.4705,                 1.6234,                 1.3325,             2.9389e-05,             2.9389e-05,             2.9389e-05
                     60,                0.77939,                0.57457,                 1.2848,                0.92153,                0.55049,                0.71612,                0.51555,                 1.4851,                   1.62,                  1.334,               2.92e-05,               2.92e-05,               2.92e-05
                     61,                0.69849,                0.66804,                 1.1938,                0.92153,                0.55049,                0.71612,                0.51555,                 1.4851,                   1.62,                  1.334,             2.8988e-05,             2.8988e-05,             2.8988e-05
