,Model,Framework,latency
353,MobileNetV2,TFLite,0.0419801790000065
354,MobileNetV2,TFLite,0.042149360000053
355,MobileNetV2,TFLite,0.0422571340000104
356,MobileNetV2,TFLite,0.0421564700000089
357,MobileNetV2,TFLite,0.0422145240000872
358,MobileNetV2,TFLite,0.0426362939999762
359,MobileNetV2,TFLite,0.0423115629999983
360,MobileNetV2,TFLite,0.0423310620000165
361,MobileNetV2,TFLite,0.0430412829999795
362,MobileNetV2,TFLite,0.0421919919999709
363,MobileNetV2,TFLite,0.0424051159999407
364,MobileNetV2,TFLite,0.0428796770000872
365,MobileNetV2,TFLite,0.0431739839999636
366,MobileNetV2,TFLite,0.0420988650000708
367,MobileNetV2,TFLite,0.0423133409999536
368,MobileNetV2,TFLite,0.0423120259999905
369,MobileNetV2,TFLite,0.0422968589999754
370,MobileNetV2,TFLite,0.0421473080000396
371,MobileNetV2,TFLite,0.0428685840000753
372,MobileNetV2,TFLite,0.0422195099999953
373,MobileNetV2,TFLite,0.0420574080000051
374,MobileNetV2,TFLite,0.042303160000074
375,MobileNetV2,TFLite,0.0423057340000241
376,MobileNetV2,TFLite,0.0424195640000562
377,MobileNetV2,TFLite,0.0424193430000059
378,MobileNetV2,TFLite,0.0422839009999052
379,MobileNetV2,TFLite,0.0429404210000257
380,MobileNetV2,TFLite,0.0419511879999845
381,MobileNetV2,TFLite,0.0421351830000276
382,MobileNetV2,TFLite,0.0423153820000834
383,MobileNetV2,TFLite,0.0424148609999974
384,MobileNetV2,TFLite,0.0422788089999812
385,MobileNetV2,TFLite,0.042884717999982
386,MobileNetV2,TFLite,0.0423941760000161
387,MobileNetV2,TFLite,0.0421167790000254
388,MobileNetV2,TFLite,0.0421374649999961
389,MobileNetV2,TFLite,0.0422143150000238
390,MobileNetV2,TFLite,0.0422880910000458
391,MobileNetV2,TFLite,0.0420222839999269
392,MobileNetV2,TFLite,0.0421526679999715
393,MobileNetV2,TFLite,0.042613971000037
394,MobileNetV2,TFLite,0.0421361690000594
395,MobileNetV2,TFLite,0.0423046460000477
396,MobileNetV2,TFLite,0.0423902170000474
397,MobileNetV2,TFLite,0.0422754800000575
398,MobileNetV2,TFLite,0.0423332750000327
399,MobileNetV2,TFLite,0.042183408000028
400,MobileNetV2,TFLite,0.0426121189999548
401,MobileNetV2,TFLite,0.0422337410000182
402,MobileNetV2,TFLite,0.0423589449999326
403,MobileNetV2,TFLite,0.0420554900000524
404,MobileNetV2,TFLite,0.0426561030000129
405,MobileNetV2,TFLite,0.0421661540000286
406,MobileNetV2,TFLite,0.0421555069999612
407,MobileNetV2,TFLite,0.0420485089999829
408,MobileNetV2,TFLite,0.0421070809999264
409,MobileNetV2,TFLite,0.0422233560000222
410,MobileNetV2,TFLite,0.0425818469999512
411,MobileNetV2,TFLite,0.0426718989999699
412,MobileNetV2,TFLite,0.0421697829999629
413,MobileNetV2,TFLite,0.0421785060000274
414,MobileNetV2,TFLite,0.0423318720000907
415,MobileNetV2,TFLite,0.0420539719999624
