,model_name,os,api,latency
1071,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0432428280000749
1072,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0438877799999772
1073,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0431996439999693
1074,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0432194029999664
1075,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0428106879999177
1076,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0429646850000153
1077,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0432395509999423
1078,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0435120270000197
1079,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0437477829999579
1080,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0428106690000049
1081,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0435630830000945
1082,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0428007430000434
1083,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.043297104999965
1084,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0436810090000108
1085,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0428530409999439
1086,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0428675409999641
1087,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0428331709999838
1088,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0431733130000111
1089,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0431120370000144
1090,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0424253449999696
1091,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0432722929999727
1092,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0432409409999081
1093,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0427508580000903
1094,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0430100009999705
1095,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.042932890999964
1096,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0428681509999933
1097,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0432824040000241
1098,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0433625519999623
1099,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0433527940000431
1100,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0433477199999288
1101,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.042816524999921
1102,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0433682380000846
1103,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0433177939999041
1104,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0428886159999137
1105,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0433566460000065
1106,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0432919610000226
1107,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0429529489999822
1108,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0429128569999193
1109,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0431429270000762
1110,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.042781729000012
1111,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0433581089999961
1112,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0430729830000018
1113,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0428179529999397
1114,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0429061360000559
1115,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.042994449000048
1116,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0429576909999696
1117,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0430752080000047
1118,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0435726069999873
1119,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0432701119999592
1120,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0427140100000542
1121,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0436417540000775
1122,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0429324880000194
1123,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0431825199999593
1124,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0431630019999147
1125,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.043270796999991
1126,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0426854549999689
1127,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0432013189999906
1128,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0429983779999929
1129,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0432512630000019
1130,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0433628900000258
1131,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0433873520000815
1132,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0430000439999957
1133,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0431786340000144
1134,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0432864660000404
1135,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0429196940000338
1136,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0430806170001005
1137,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0428558249999468
1138,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0431598750000148
1139,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0427666589999944
1140,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0430720059999885
1141,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0429127680000647
1142,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0428691959999696
1143,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.042899104000071
1144,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0434912409999697
1145,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0431755619999876
1146,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0429994910000459
1147,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0426983659999677
1148,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0427887900000314
1149,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0432137830000556
1150,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0429321029999982
1151,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.04301926800008
1152,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0435651120000102
1153,lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,0.0429573619999246
