         2485239 function calls (2437267 primitive calls) in 18.733 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    1.224    1.224 /home/pi/.local/lib/python3.8/site-packages/tensorflow/python/autograph/utils/__init__.py:15(<module>)
        1    0.000    0.000    1.218    1.218 /home/pi/.local/lib/python3.8/site-packages/tensorflow/python/autograph/utils/py_func.py:15(<module>)
        1    0.000    0.000    1.216    1.216 /home/pi/.local/lib/python3.8/site-packages/tensorflow/python/ops/script_ops.py:15(<module>)
     3377    0.011    0.000    1.134    0.000 <frozen importlib._bootstrap_external>:1399(find_spec)
     4334    0.057    0.000    1.129    0.000 /home/pi/.local/lib/python3.8/site-packages/tensorflow/python/util/tf_decorator.py:115(make_decorator)
3378/3377    0.042    0.000    1.123    0.000 <frozen importlib._bootstrap_external>:1367(_get_spec)
        1    0.000    0.000    1.033    1.033 /home/pi/.local/lib/python3.8/site-packages/tensorflow/_api/v2/compat/__init__.py:3(<module>)
        1    0.002    0.002    1.029    1.029 /home/pi/.local/lib/python3.8/site-packages/tensorflow/_api/v2/compat/v1/__init__.py:15(<module>)
11737/11733    0.131    0.000    1.017    0.000 /usr/lib/python3.8/inspect.py:2218(_signature_from_callable)
        1    0.000    0.000    1.009    1.009 /home/pi/.local/lib/python3.8/site-packages/tensorflow/_api/v2/compat/v1/compat/__init__.py:3(<module>)
        1    0.001    0.001    1.006    1.006 /home/pi/.local/lib/python3.8/site-packages/tensorflow/python/keras/metrics.py:17(<module>)
        1    0.000    0.000    0.989    0.989 /home/pi/.local/lib/python3.8/site-packages/tensorflow/python/keras/activations.py:15(<module>)
     4407    0.134    0.000    0.983    0.000 <frozen importlib._bootstrap_external>:1498(find_spec)
        1    0.000    0.000    0.979    0.979 /home/pi/.local/lib/python3.8/site-packages/tensorflow/python/keras/layers/__init__.py:15(<module>)
4429/4398    0.335    0.000    0.906    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.878    0.878 /home/pi/.local/lib/python3.8/site-packages/tensorflow/python/ops/resource_variable_ops.py:15(<module>)
        1    0.000    0.000    0.851    0.851 /home/pi/.local/lib/python3.8/site-packages/tensorflow/python/framework/meta_graph.py:16(<module>)
    11499    0.287    0.000    0.810    0.000 /usr/lib/python3.8/inspect.py:2124(_signature_from_function)
        8    0.802    0.100    0.803    0.100 /home/pi/.local/lib/python3.8/site-packages/tensorflow/lite/python/interpreter.py:904(invoke)
     3130    0.030    0.000    0.802    0.000 <frozen importlib._bootstrap_external>:638(_compile_bytecode)
        1    0.000    0.000    0.778    0.778 /home/pi/.local/lib/python3.8/site-packages/tensorflow/python/framework/importer.py:15(<module>)
        1    0.000    0.000    0.774    0.774 /home/pi/.local/lib/python3.8/site-packages/tensorflow/python/framework/function.py:15(<module>)
        1    0.000    0.000    0.772    0.772 /home/pi/.local/lib/python3.8/site-packages/tensorflow/python/eager/backprop.py:15(<module>)
        1    0.000    0.000    0.767    0.767 /home/pi/.local/lib/python3.8/site-packages/tensorflow/python/ops/parallel_for/__init__.py:15(<module>)
     1448    0.007    0.000    0.765    0.001 /home/pi/.local/lib/python3.8/site-packages/tensorflow/python/framework/ops.py:7242(to_raw_op)
     1448    0.007    0.000    0.758    0.001 /home/pi/.local/lib/python3.8/site-packages/tensorflow/python/util/tf_export.py:403(kwarg_only)
     3130    0.754    0.000    0.754    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.740    0.740 /home/pi/.local/lib/python3.8/site-packages/tensorflow/python/keras/engine/functional.py:16(<module>)
        1    0.000    0.000    0.733    0.733 /home/pi/.local/lib/python3.8/site-packages/tensorflow/python/keras/engine/training.py:15(<module>)
     8092    0.014    0.000    0.712    0.000 /usr/lib/python3.8/inspect.py:3103(signature)
     8122    0.011    0.000    0.701    0.000 /usr/lib/python3.8/inspect.py:2851(from_callable)
        1    0.000    0.000    0.695    0.695 /home/pi/.local/lib/python3.8/site-packages/pandas/core/api.py:1(<module>)
  162/126    0.002    0.000    0.687    0.005 <frozen importlib._bootstrap_external>:1172(exec_module)
  162/126    0.190    0.001    0.685    0.005 {built-in method _imp.exec_dynamic}
    16947    0.664    0.000    0.664    0.000 {built-in method posix.stat}
        1    0.000    0.000    0.653    0.653 /home/pi/.local/lib/python3.8/site-packages/tensorflow/python/keras/engine/training_v1.py:15(<module>)
        1    0.002    0.002    0.639    0.639 /home/pi/.local/lib/python3.8/site-packages/tensorflow/python/keras/backend.py:19(<module>)
    14924    0.023    0.000    0.631    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
        1    0.000    0.000    0.628    0.628 /home/pi/.local/lib/python3.8/site-packages/tensorflow/python/keras/engine/training_arrays_v1.py:15(<module>)
        1    0.000    0.000    0.618    0.618 /home/pi/.local/lib/python3.8/site-packages/tensorflow/python/ops/parallel_for/control_flow_ops.py:15(<module>)
        1    0.001    0.001    0.608    0.608 /home/pi/.local/lib/python3.8/site-packages/tensorflow/python/ops/parallel_for/pfor.py:15(<module>)
    58382    0.232    0.000    0.608    0.000 /usr/lib/python3.8/inspect.py:2489(__init__)
        1    0.000    0.000    0.597    0.597 /home/pi/.local/lib/python3.8/site-packages/tensorflow/python/keras/engine/input_layer.py:16(<module>)
        1    0.000    0.000    0.590    0.590 /home/pi/.local/lib/python3.8/site-packages/tensorflow/python/keras/engine/base_layer.py:16(<module>)
        1    0.000    0.000    0.585    0.585 /home/pi/.local/lib/python3.8/site-packages/scipy/sparse/__init__.py:1(<module>)
