,image,inference time,label,index,value
0,"[[[[0.07450981 0.12156863 0.0627451 ]
   [0.05882353 0.09411765 0.04313726]
   [0.08627451 0.10196079 0.05882353]
   ...
   [0.04313726 0.12156863 0.03529412]
   [0.05882353 0.1254902  0.06666667]
   [0.07450981 0.12941177 0.08235294]]

  [[0.05882353 0.08235294 0.0627451 ]
   [0.07058824 0.09411765 0.05882353]
   [0.08627451 0.09803922 0.05882353]
   ...
   [0.02352941 0.07450981 0.02745098]
   [0.03921569 0.10980392 0.05882353]
   [0.06666667 0.13725491 0.08627451]]

  [[0.01568628 0.03921569 0.02745098]
   [0.05882353 0.07843138 0.05882353]
   [0.05882353 0.08627451 0.04705882]
   ...
   [0.02352941 0.05098039 0.        ]
   [0.05098039 0.10588235 0.03137255]
   [0.07450981 0.12941177 0.06666667]]

  ...

  [[0.12941177 0.20392157 0.12941177]
   [0.08235294 0.1882353  0.06666667]
   [0.09019608 0.2        0.09019608]
   ...
   [0.14901961 0.3137255  0.18039216]
   [0.2627451  0.36078432 0.22745098]
   [0.35686275 0.49019608 0.38039216]]

  [[0.23529412 0.36862746 0.27058825]
   [0.21960784 0.3372549  0.19607843]
   [0.20392157 0.28235295 0.15294118]
   ...
   [0.16078432 0.33333334 0.18431373]
   [0.24313726 0.3372549  0.21176471]
   [0.32156864 0.45490196 0.38039216]]

  [[0.29411766 0.38431373 0.33333334]
   [0.32941177 0.42745098 0.33333334]
   [0.30980393 0.4        0.30588236]
   ...
   [0.16862746 0.32941177 0.16862746]
   [0.23921569 0.3372549  0.20784314]
   [0.2        0.32941177 0.2784314 ]]]]",12.741632770999786,"['bear', 'bear', 'bear', 'bear']","[21, 21, 21, 21]","[0.5380064, 0.5672054, 0.5382341, 0.54114366]"
1,"[[[[0.67058825 0.77254903 0.70980394]
   [0.67058825 0.77254903 0.70980394]
   [0.67058825 0.77254903 0.70980394]
   ...
   [0.08235294 0.23921569 0.6156863 ]
   [0.08235294 0.23921569 0.6156863 ]
   [0.08235294 0.23921569 0.6156863 ]]

  [[0.67058825 0.77254903 0.70980394]
   [0.67058825 0.77254903 0.70980394]
   [0.67058825 0.77254903 0.70980394]
   ...
   [0.08235294 0.23921569 0.6156863 ]
   [0.08235294 0.23921569 0.6156863 ]
   [0.08235294 0.23921569 0.6156863 ]]

  [[0.67058825 0.77254903 0.70980394]
   [0.67058825 0.77254903 0.70980394]
   [0.67058825 0.77254903 0.70980394]
   ...
   [0.08235294 0.23921569 0.6156863 ]
   [0.08235294 0.23921569 0.6156863 ]
   [0.08235294 0.23921569 0.6156863 ]]

  ...

  [[0.35686275 0.41568628 0.42352942]
   [0.35686275 0.41568628 0.42352942]
   [0.35686275 0.41568628 0.42352942]
   ...
   [0.38431373 0.33333334 0.3254902 ]
   [0.38431373 0.33333334 0.3254902 ]
   [0.38431373 0.33333334 0.3254902 ]]

  [[0.35686275 0.41568628 0.42352942]
   [0.35686275 0.41568628 0.42352942]
   [0.35686275 0.41568628 0.42352942]
   ...
   [0.38431373 0.33333334 0.3254902 ]
   [0.38431373 0.33333334 0.3254902 ]
   [0.38431373 0.33333334 0.3254902 ]]

  [[0.35686275 0.41568628 0.42352942]
   [0.35686275 0.41568628 0.42352942]
   [0.35686275 0.41568628 0.42352942]
   ...
   [0.38431373 0.33333334 0.3254902 ]
   [0.38431373 0.33333334 0.3254902 ]
   [0.38431373 0.33333334 0.3254902 ]]]]",11.554865842999789,[],[],[]
2,"[[[[0.17254902 0.10196079 0.15294118]
   [0.17254902 0.10196079 0.15294118]
   [0.17254902 0.10196079 0.15294118]
   ...
   [0.07058824 0.02745098 0.10588235]
   [0.07058824 0.02745098 0.10588235]
   [0.07058824 0.02745098 0.10588235]]

  [[0.17254902 0.10196079 0.15294118]
   [0.17254902 0.10196079 0.15294118]
   [0.17254902 0.10196079 0.15294118]
   ...
   [0.07058824 0.02745098 0.10588235]
   [0.07058824 0.02745098 0.10588235]
   [0.07058824 0.02745098 0.10588235]]

  [[0.17254902 0.10196079 0.15294118]
   [0.17254902 0.10196079 0.15294118]
   [0.17254902 0.10196079 0.15294118]
   ...
   [0.07058824 0.02745098 0.10588235]
   [0.07058824 0.02745098 0.10588235]
   [0.07058824 0.02745098 0.10588235]]

  ...

  [[0.3529412  0.35686275 0.34901962]
   [0.3529412  0.35686275 0.34901962]
   [0.3529412  0.35686275 0.34901962]
   ...
   [0.3254902  0.25882354 0.24705882]
   [0.3254902  0.25882354 0.24705882]
   [0.3254902  0.25882354 0.24705882]]

  [[0.3529412  0.35686275 0.34901962]
   [0.3529412  0.35686275 0.34901962]
   [0.3529412  0.35686275 0.34901962]
   ...
   [0.3254902  0.25882354 0.24705882]
   [0.3254902  0.25882354 0.24705882]
   [0.3254902  0.25882354 0.24705882]]

  [[0.3529412  0.35686275 0.34901962]
   [0.3529412  0.35686275 0.34901962]
   [0.3529412  0.35686275 0.34901962]
   ...
   [0.3254902  0.25882354 0.24705882]
   [0.3254902  0.25882354 0.24705882]
   [0.3254902  0.25882354 0.24705882]]]]",16.375388976000067,[],[],[]
3,"[[[[0.08627451 0.23529412 0.1882353 ]
   [0.09411765 0.24705882 0.2       ]
   [0.08627451 0.24705882 0.19607843]
   ...
   [0.04313726 0.21960784 0.15294118]
   [0.05882353 0.23529412 0.16862746]
   [0.05882353 0.23529412 0.16862746]]

  [[0.08627451 0.23529412 0.1882353 ]
   [0.09411765 0.24705882 0.2       ]
   [0.08627451 0.24705882 0.19607843]
   ...
   [0.04313726 0.21960784 0.14901961]
   [0.05882353 0.23529412 0.16862746]
   [0.05882353 0.23529412 0.16862746]]

  [[0.09019608 0.23921569 0.19215687]
   [0.09411765 0.24705882 0.2       ]
   [0.08627451 0.24705882 0.19607843]
   ...
   [0.04313726 0.21568628 0.14901961]
   [0.05882353 0.23529412 0.16862746]
   [0.05882353 0.23529412 0.16862746]]

  ...

  [[0.2784314  0.3882353  0.3882353 ]
   [0.26666668 0.3764706  0.3764706 ]
   [0.25882354 0.36862746 0.36862746]
   ...
   [0.29411766 0.41960785 0.4       ]
   [0.27058825 0.39607844 0.3764706 ]
   [0.3019608  0.42745098 0.40784314]]

  [[0.27450982 0.38431373 0.38431373]
   [0.25882354 0.36862746 0.36862746]
   [0.2509804  0.36078432 0.36078432]
   ...
   [0.28627452 0.4117647  0.39215687]
   [0.27058825 0.39607844 0.3764706 ]
   [0.30588236 0.43137255 0.4117647 ]]

  [[0.27058825 0.38039216 0.38039216]
   [0.25490198 0.3647059  0.3647059 ]
   [0.24705882 0.3529412  0.3529412 ]
   ...
   [0.28235295 0.40784314 0.3882353 ]
   [0.27058825 0.39215687 0.37254903]
   [0.30980393 0.43529412 0.41568628]]]]",9.619044304000454,"['zebra', 'zebra', 'zebra', 'zebra', 'zebra', 'zebra']","[22, 22, 22, 22, 22, 22]","[0.87951803, 0.8731016, 0.50848067, 0.50022924, 0.8024705, 0.771272]"
4,"[[[[1.         1.         1.        ]
   [1.         1.         1.        ]
   [1.         1.         1.        ]
   ...
   [1.         1.         1.        ]
   [1.         1.         1.        ]
   [1.         1.         1.        ]]

  [[1.         1.         1.        ]
   [1.         1.         1.        ]
   [1.         1.         1.        ]
   ...
   [1.         1.         1.        ]
   [1.         1.         1.        ]
   [1.         1.         1.        ]]

  [[1.         1.         1.        ]
   [1.         1.         1.        ]
   [1.         1.         1.        ]
   ...
   [1.         1.         1.        ]
   [1.         1.         1.        ]
   [1.         1.         1.        ]]

  ...

  [[0.65882355 0.7372549  0.6156863 ]
   [0.65882355 0.7372549  0.61960787]
   [0.6627451  0.74509805 0.62352943]
   ...
   [0.13333334 0.13725491 0.15294118]
   [0.13333334 0.13333334 0.14901961]
   [0.12941177 0.13333334 0.14901961]]

  [[0.6509804  0.73333335 0.60784316]
   [0.6509804  0.73333335 0.60784316]
   [0.65882355 0.7411765  0.6156863 ]
   ...
   [0.11372549 0.11764706 0.13333334]
   [0.10588235 0.10980392 0.1254902 ]
   [0.10588235 0.10980392 0.1254902 ]]

  [[0.6509804  0.73333335 0.60784316]
   [0.6509804  0.73333335 0.60784316]
   [0.65882355 0.7411765  0.6156863 ]
   ...
   [0.11372549 0.11764706 0.13333334]
   [0.10588235 0.10980392 0.1254902 ]
   [0.10588235 0.10980392 0.1254902 ]]]]",11.66621865399975,"['cat', 'cat', 'cat', 'cat']","[15, 15, 15, 15]","[0.51203024, 0.50817883, 0.64353776, 0.63805425]"
5,"[[[[0.28235295 0.5882353  0.42745098]
   [0.28235295 0.5882353  0.42745098]
   [0.28235295 0.5882353  0.42745098]
   ...
   [0.2509804  0.2        0.23137255]
   [0.2509804  0.2        0.23137255]
   [0.2509804  0.2        0.23137255]]

  [[0.28235295 0.5882353  0.42745098]
   [0.28235295 0.5882353  0.42745098]
   [0.28235295 0.5882353  0.42745098]
   ...
   [0.2509804  0.2        0.23137255]
   [0.2509804  0.2        0.23137255]
   [0.2509804  0.2        0.23137255]]

  [[0.28235295 0.5882353  0.42745098]
   [0.28235295 0.5882353  0.42745098]
   [0.28235295 0.5882353  0.42745098]
   ...
   [0.2509804  0.2        0.23137255]
   [0.2509804  0.2        0.23137255]
   [0.2509804  0.2        0.23137255]]

  ...

  [[0.07450981 0.24705882 0.15686275]
   [0.07450981 0.24705882 0.15686275]
   [0.07450981 0.24705882 0.15686275]
   ...
   [0.7019608  0.7137255  0.7294118 ]
   [0.7019608  0.7137255  0.7294118 ]
   [0.7019608  0.7137255  0.7294118 ]]

  [[0.07450981 0.24705882 0.15686275]
   [0.07450981 0.24705882 0.15686275]
   [0.07450981 0.24705882 0.15686275]
   ...
   [0.7019608  0.7137255  0.7294118 ]
   [0.7019608  0.7137255  0.7294118 ]
   [0.7019608  0.7137255  0.7294118 ]]

  [[0.07450981 0.24705882 0.15686275]
   [0.07450981 0.24705882 0.15686275]
   [0.07450981 0.24705882 0.15686275]
   ...
   [0.7019608  0.7137255  0.7294118 ]
   [0.7019608  0.7137255  0.7294118 ]
   [0.7019608  0.7137255  0.7294118 ]]]]",12.373897499000122,[],[],[]
6,"[[[[0.01176471 0.06666667 0.15294118]
   [0.01176471 0.06666667 0.15294118]
   [0.01176471 0.06666667 0.15294118]
   ...
   [0.73333335 0.8627451  0.9254902 ]
   [0.7294118  0.8627451  0.9254902 ]
   [0.7254902  0.85882354 0.92156863]]

  [[0.01568628 0.07058824 0.15686275]
   [0.01568628 0.07058824 0.15686275]
   [0.01568628 0.07058824 0.15686275]
   ...
   [0.73333335 0.8627451  0.9254902 ]
   [0.7294118  0.8627451  0.9254902 ]
   [0.7254902  0.85882354 0.92156863]]

  [[0.01568628 0.07058824 0.15686275]
   [0.01568628 0.07058824 0.15686275]
   [0.01568628 0.07058824 0.15686275]
   ...
   [0.73333335 0.8627451  0.9254902 ]
   [0.7294118  0.8627451  0.9254902 ]
   [0.7254902  0.85882354 0.92156863]]

  ...

  [[0.07843138 0.16078432 0.4       ]
   [0.07058824 0.15294118 0.39215687]
   [0.0627451  0.14901961 0.3882353 ]
   ...
   [0.49803922 0.5882353  0.79607844]
   [0.4862745  0.58431375 0.7882353 ]
   [0.4509804  0.5647059  0.7647059 ]]

  [[0.07450981 0.15686275 0.39607844]
   [0.07058824 0.15294118 0.39215687]
   [0.06666667 0.14901961 0.3882353 ]
   ...
   [0.49019608 0.5882353  0.7921569 ]
   [0.4862745  0.5921569  0.7921569 ]
   [0.4509804  0.5686275  0.76862746]]

  [[0.06666667 0.14901961 0.3882353 ]
   [0.07058824 0.15294118 0.39215687]
   [0.07450981 0.15686275 0.39607844]
   ...
   [0.4745098  0.5803922  0.78039217]
   [0.48235294 0.5921569  0.7921569 ]
   [0.44313726 0.57254905 0.76862746]]]]",9.692361649999839,"['bottle', 'bottle', 'bottle', 'bottle', 'wine glass', 'wine glass', 'bottle', 'bottle', 'bottle', 'bottle', 'wine glass', 'wine glass', 'wine glass', 'wine glass']","[39, 39, 39, 39, 40, 40, 39, 39, 39, 39, 40, 40, 40, 40]","[0.72995377, 0.69137776, 0.6763692, 0.6528448, 0.5361021, 0.5261287, 0.79895914, 0.77046597, 0.9106386, 0.89320874, 0.9221731, 0.9055402, 0.74767447, 0.72734046]"
7,"[[[[0. 0. 0.]
   [0. 0. 0.]
   [0. 0. 0.]
   ...
   [0. 0. 0.]
   [0. 0. 0.]
   [0. 0. 0.]]

  [[0. 0. 0.]
   [0. 0. 0.]
   [0. 0. 0.]
   ...
   [0. 0. 0.]
   [0. 0. 0.]
   [0. 0. 0.]]

  [[0. 0. 0.]
   [0. 0. 0.]
   [0. 0. 0.]
   ...
   [0. 0. 0.]
   [0. 0. 0.]
   [0. 0. 0.]]

  ...

  [[0. 0. 0.]
   [0. 0. 0.]
   [0. 0. 0.]
   ...
   [0. 0. 0.]
   [0. 0. 0.]
   [0. 0. 0.]]

  [[0. 0. 0.]
   [0. 0. 0.]
   [0. 0. 0.]
   ...
   [0. 0. 0.]
   [0. 0. 0.]
   [0. 0. 0.]]

  [[0. 0. 0.]
   [0. 0. 0.]
   [0. 0. 0.]
   ...
   [0. 0. 0.]
   [0. 0. 0.]
   [0. 0. 0.]]]]",9.698965038000097,"['truck', 'truck', 'truck', 'truck', 'truck', 'truck', 'dog', 'dog', 'truck', 'truck', 'truck', 'truck', 'truck', 'truck', 'bicycle', 'bicycle', 'bicycle', 'bicycle', 'bicycle', 'bicycle', 'bicycle', 'bicycle', 'bicycle', 'dog', 'dog', 'dog', 'dog', 'dog', 'dog', 'dog', 'dog', 'dog']","[7, 7, 7, 7, 7, 7, 16, 16, 7, 7, 7, 7, 7, 7, 1, 1, 1, 1, 1, 1, 1, 1, 1, 16, 16, 16, 16, 16, 16, 16, 16, 16]","[0.69773746, 0.7093724, 0.88579327, 0.8780819, 0.8956653, 0.90139997, 0.93236387, 0.8962843, 0.91677517, 0.916433, 0.9237161, 0.924755, 0.8708648, 0.86891174, 0.94454104, 0.94303125, 0.93924737, 0.94589895, 0.94913685, 0.9432253, 0.71981835, 0.70532995, 0.7161237, 0.8359715, 0.8250804, 0.8331374, 0.9551015, 0.9517531, 0.94773066, 0.9510007, 0.9480522, 0.9412153]"
8,"[[[[0.6901961  0.6117647  0.42745098]
   [0.68235296 0.6039216  0.41960785]
   [0.6745098  0.59607846 0.4117647 ]
   ...
   [0.79607844 0.6862745  0.44705883]
   [0.8        0.6901961  0.4509804 ]
   [0.8        0.6901961  0.4509804 ]]

  [[0.6901961  0.60784316 0.42745098]
   [0.68235296 0.6039216  0.41960785]
   [0.67058825 0.59607846 0.4117647 ]
   ...
   [0.79607844 0.6862745  0.44705883]
   [0.8        0.6901961  0.4509804 ]
   [0.8        0.6901961  0.4509804 ]]

  [[0.6862745  0.6039216  0.42745098]
   [0.6784314  0.6        0.41960785]
   [0.67058825 0.5921569  0.40784314]
   ...
   [0.79607844 0.6862745  0.44705883]
   [0.8        0.6901961  0.4509804 ]
   [0.8        0.6901961  0.4509804 ]]

  ...

  [[0.47843137 0.45490196 0.38039216]
   [0.47843137 0.45490196 0.3764706 ]
   [0.4745098  0.45490196 0.37254903]
   ...
   [0.73333335 0.6862745  0.54509807]
   [0.7411765  0.69411767 0.5529412 ]
   [0.7411765  0.69411767 0.5529412 ]]

  [[0.48235294 0.45882353 0.38431373]
   [0.47843137 0.45882353 0.3764706 ]
   [0.4745098  0.45490196 0.37254903]
   ...
   [0.7372549  0.6901961  0.54901963]
   [0.74509805 0.69803923 0.5568628 ]
   [0.74509805 0.69803923 0.5568628 ]]

  [[0.48235294 0.45882353 0.38431373]
   [0.47843137 0.45882353 0.38039216]
   [0.47843137 0.45882353 0.37254903]
   ...
   [0.7372549  0.6901961  0.54901963]
   [0.74509805 0.69803923 0.5568628 ]
   [0.74509805 0.69803923 0.5568628 ]]]]",9.689484098000321,"['airplane', 'airplane']","[4, 4]","[0.57599115, 0.7208048]"
9,"[[[[0.19607843 0.22745098 0.22352941]
   [0.20392157 0.23137255 0.22745098]
   [0.20784314 0.23921569 0.23529412]
   ...
   [0.32941177 0.6156863  0.6784314 ]
   [0.16862746 0.24313726 0.40784314]
   [0.18039216 0.27058825 0.25490198]]

  [[0.2        0.23137255 0.22745098]
   [0.2        0.23137255 0.22745098]
   [0.20784314 0.23921569 0.23529412]
   ...
   [0.30980393 0.5803922  0.64705884]
   [0.15686275 0.22745098 0.38039216]
   [0.1764706  0.26666668 0.23921569]]

  [[0.2        0.23137255 0.22745098]
   [0.2        0.23137255 0.22745098]
   [0.20784314 0.23921569 0.23529412]
   ...
   [0.2784314  0.5058824  0.5764706 ]
   [0.16078432 0.21568628 0.3372549 ]
   [0.17254902 0.24705882 0.2       ]]

  ...

  [[0.7019608  0.65882355 0.627451  ]
   [0.7019608  0.65882355 0.627451  ]
   [0.7019608  0.65882355 0.627451  ]
   ...
   [0.3254902  0.32941177 0.3882353 ]
   [0.17254902 0.18039216 0.23921569]
   [0.1882353  0.20392157 0.24313726]]

  [[0.7019608  0.65882355 0.627451  ]
   [0.69411767 0.654902   0.61960787]
   [0.6784314  0.63529414 0.6039216 ]
   ...
   [0.31764707 0.31764707 0.38431373]
   [0.17254902 0.18039216 0.23921569]
   [0.1882353  0.20392157 0.24705882]]

  [[0.6901961  0.64705884 0.6156863 ]
   [0.6901961  0.64705884 0.6156863 ]
   [0.6666667  0.62352943 0.5921569 ]
   ...
   [0.31764707 0.31764707 0.38431373]
   [0.16470589 0.17254902 0.23137255]
   [0.13725491 0.15294118 0.19607843]]]]",10.06310853299965,"['truck', 'truck', 'truck', 'truck', 'truck', 'truck', 'dog', 'dog', 'dog', 'truck', 'truck', 'truck', 'truck', 'truck', 'truck', 'truck', 'truck', 'truck', 'bicycle', 'bicycle', 'bicycle', 'bicycle', 'bicycle', 'bicycle', 'dog', 'dog', 'dog', 'dog', 'dog', 'dog', 'dog', 'dog', 'dog']","[7, 7, 7, 7, 7, 7, 16, 16, 16, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 1, 1, 1, 1, 1, 16, 16, 16, 16, 16, 16, 16, 16, 16]","[0.8903709, 0.8803442, 0.9059942, 0.9027217, 0.629604, 0.63025475, 0.9237775, 0.6284399, 0.5203037, 0.83744484, 0.83493716, 0.81980634, 0.91714036, 0.91954434, 0.9205209, 0.9244738, 0.9256086, 0.917265, 0.9258031, 0.93369204, 0.9277149, 0.92282116, 0.92871547, 0.9234393, 0.8064238, 0.8919146, 0.8984724, 0.91689277, 0.9422832, 0.9410502, 0.8955757, 0.9111372, 0.9097277]"
