,model_name,api,inference type,latency avg,latency,variance
35,yolov5m,Tensorflow,det,2.7897835843379934,/Users/marounel-chayeb/BacArbeit/final_results/results/det/tf/yolov5m/yolov5m-fp16_tf_det_2024_5_22_11_59_ubuntus_3_onlylat.csv,0.004917126487972237
36,yolov5n,Tensorflow,det,0.3239334988420141,/Users/marounel-chayeb/BacArbeit/final_results/results/det/tf/yolov5n/yolov5n-fp16_tf_det_2024_5_22_12_47_ubuntus_3_onlylat.csv,1.7862252096445867e-05
37,yolov5s,Tensorflow,det,0.9548971229069666,/Users/marounel-chayeb/BacArbeit/final_results/results/det/tf/yolov5s/yolov5s-fp16_tf_det_2024_5_22_12_53_ubuntus_3_onlylat.csv,0.00010689215600666794
38,yolov5l,Onnx,det,5.217692227631001,/Users/marounel-chayeb/BacArbeit/final_results/results/det/onnx/yolov5l/yolov5l_onnx_det_2024_5_22_13_47_ubuntus_3_onlylat.csv,5.7734288376439576e-05
39,yolov5m,Onnx,det,2.5658269180580064,/Users/marounel-chayeb/BacArbeit/final_results/results/det/onnx/yolov5m/yolov5m_onnx_det_2024_5_22_15_15_ubuntus_3_onlylat.csv,0.0001112588659339468
40,yolov5n,Onnx,det,0.5308960886989734,/Users/marounel-chayeb/BacArbeit/final_results/results/det/onnx/yolov5n/yolov5n_onnx_det_2024_5_22_15_58_ubuntus_3_onlylat.csv,9.862632250479098e-06
41,yolov5s,Onnx,det,1.0283740141909783,/Users/marounel-chayeb/BacArbeit/final_results/results/det/onnx/yolov5s/yolov5s_onnx_det_2024_5_22_16_7_ubuntus_3_onlylat.csv,0.00011851429833941957
42,yolov5s,Openvino,det,0.9895916565540338,/Users/marounel-chayeb/BacArbeit/final_results/results/det/ov/yolov5s/yolov5s_ov_det_2024_5_22_18_9_ubuntus_3_onlylat.csv,0.00016928621450831448
43,yolov5m,Openvino,det,2.0203582274320344,/Users/marounel-chayeb/BacArbeit/final_results/results/det/ov/yolov5m/yolov5m_ov_det_2024_5_22_17_34_ubuntus_3_onlylat.csv,0.0016925098076084368
44,yolov5n,Openvino,det,0.4476165959269492,/Users/marounel-chayeb/BacArbeit/final_results/results/det/ov/yolov5n/yolov5n_ov_det_2024_5_23_19_42_ubuntus_3_onlylat.csv,1.1077965091327874e-05
