,model_name,latency,thread,api
10072,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0660457299999848,1,delegate
10073,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0659740819999683,1,delegate
10074,lite-model_mobilenet_v3_large_100_224_fp32_1,0.065842841999995,1,delegate
10075,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0660589519999916,1,delegate
10076,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0658888230000229,1,delegate
10077,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0655232139999952,1,delegate
10078,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0659685080000258,1,delegate
10079,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0660486560000208,1,delegate
10080,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0660269890000222,1,delegate
10081,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0659276369999588,1,delegate
10082,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0659569150000152,1,delegate
10083,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0656708060000141,1,delegate
10084,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0658531189999962,1,delegate
10085,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0659685629999558,1,delegate
10086,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0660167300000011,1,delegate
10087,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0660724519999576,1,delegate
10088,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0659431739999831,1,delegate
10089,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0660397299999999,1,delegate
10090,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0658008240000072,1,delegate
10091,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0656741020000026,1,delegate
10092,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0657704529999705,1,delegate
10093,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0660954890000198,1,delegate
10094,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0664418569999725,1,delegate
10095,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0660628220000489,1,delegate
10096,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0659060269999827,1,delegate
10097,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0660307489999922,1,delegate
10098,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0657119720000309,1,delegate
10099,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0657376020000128,1,delegate
10100,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0659631190000027,1,delegate
10101,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0657903240000337,1,delegate
10102,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0660866919999989,1,delegate
10103,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0661153590000367,1,delegate
10104,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0658506569999985,1,delegate
10105,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0659259710000128,1,delegate
10106,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0660836549999999,1,delegate
10107,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0658263980000128,1,delegate
10108,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0658930089999785,1,delegate
10109,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0658273789999839,1,delegate
10110,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0660043789999917,1,delegate
10111,lite-model_mobilenet_v3_large_100_224_fp32_1,0.065972137000017,1,delegate
10112,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0660406740000212,1,delegate
10113,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0660158959999535,1,delegate
10114,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0659336010000402,1,delegate
10115,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0657547309999699,1,delegate
10116,lite-model_mobilenet_v3_large_100_224_fp32_1,0.065911600999982,1,delegate
10117,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0657814529999996,1,delegate
10118,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0660323600000083,1,delegate
10119,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0661733950000211,1,delegate
10120,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0659862299999645,1,delegate
10121,lite-model_mobilenet_v3_large_100_224_fp32_1,0.06589504599998,1,delegate
10122,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0660764140000083,1,delegate
10123,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0658076199999868,1,delegate
10124,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0660222489999569,1,delegate
10125,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0657248619999677,1,delegate
10126,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0658478790000458,1,delegate
10127,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0659467119999703,1,delegate
10128,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0659015820000377,1,delegate
10129,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0658539160000373,1,delegate
10130,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0658864709999988,1,delegate
10131,lite-model_mobilenet_v3_large_100_224_fp32_1,0.066019692999987,1,delegate
10132,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0658171379999998,1,delegate
10133,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0654643450000094,1,delegate
10134,lite-model_mobilenet_v3_large_100_224_fp32_1,0.065849471999968,1,delegate
10135,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0658894899999609,1,delegate
10136,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0659189529999935,1,delegate
10137,lite-model_mobilenet_v3_large_100_224_fp32_1,0.065949211999964,1,delegate
10138,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0658022860000073,1,delegate
10139,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0659292489999643,1,delegate
10140,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0657832500000381,1,delegate
10141,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0656415650000212,1,delegate
10142,lite-model_mobilenet_v3_large_100_224_fp32_1,0.0656256760000246,1,delegate
