model_name,os,api,inference type,latency avg,top1,top5,map,miou,latency
lite-model_mobilenet_v2_100_224_fp32_1,ubuntus,tf,class,0.0424293684329971,,,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/tf/lite-model_mobilenet_v2_100_224_fp32_1/lite-model_mobilenet_v2_100_224_fp32_1_tf_class_2024_3_8_12_11_ubuntus_onlylat.csv
lite-model_mobilenet_v2_100_224_fp32_1,raspberryos,tf,class,0.043205925610002,,,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/tf/lite-model_mobilenet_v2_100_224_fp32_1/lite-model_mobilenet_v2_100_224_fp32_1_tf_class_2024_3_9_20_46_raspberryos_onlylat.csv
lite-model_mobilenet_v2_100_224_uint8_1,ubuntus,tf,class,0.0220086776810008,,,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/tf/lite-model_mobilenet_v2_100_224_uint8_1/lite-model_mobilenet_v2_100_224_uint8_1_tf_class_2024_3_8_12_13_ubuntus_onlylat.csv
lite-model_mobilenet_v2_100_224_uint8_1,raspberryos,tf,class,0.0219175106300023,,,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/tf/lite-model_mobilenet_v2_100_224_uint8_1/lite-model_mobilenet_v2_100_224_uint8_1_tf_class_2024_3_9_20_48_raspberryos_onlylat.csv
lite-model_mobilenet_v3_large_100_224_fp32_1,ubuntus,tf,class,0.0382383458709995,,,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/tf/lite-model_mobilenet_v3_large_100_224_fp32_1/lite-model_mobilenet_v3_large_100_224_fp32_1_tf_class_2024_3_8_12_5_ubuntus_onlylat.csv
lite-model_mobilenet_v3_large_100_224_fp32_1,raspberryos,tf,class,0.038957047514008,,,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/tf/lite-model_mobilenet_v3_large_100_224_fp32_1/lite-model_mobilenet_v3_large_100_224_fp32_1_tf_class_2024_3_10_12_23_raspberryos_onlylat.csv
lite-model_mobilenet_v3_large_100_224_uint8_1,ubuntus,tf,class,0.0204206533980006,,,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/tf/lite-model_mobilenet_v3_large_100_224_uint8_1/lite-model_mobilenet_v3_large_100_224_uint8_1_tf_class_2024_3_8_12_7_ubuntus_onlylat.csv
lite-model_mobilenet_v3_large_100_224_uint8_1,raspberryos,tf,class,0.0201629477079977,,,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/tf/lite-model_mobilenet_v3_large_100_224_uint8_1/lite-model_mobilenet_v3_large_100_224_uint8_1_tf_class_2024_3_10_12_26_raspberryos_onlylat.csv
lite-model_mobilenet_v3_small_100_224_fp32_1,ubuntus,tf,class,0.0123841412450013,,,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/tf/lite-model_mobilenet_v3_small_100_224_fp32_1/lite-model_mobilenet_v3_small_100_224_fp32_1_tf_class_2024_3_8_12_9_ubuntus_onlylat.csv
lite-model_mobilenet_v3_small_100_224_fp32_1,raspberryos,tf,class,0.0125321008729965,,,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/tf/lite-model_mobilenet_v3_small_100_224_fp32_1/lite-model_mobilenet_v3_small_100_224_fp32_1_tf_class_2024_3_10_12_27_raspberryos_onlylat.csv
lite-model_mobilenet_v3_small_100_224_uint8_1,ubuntus,tf,class,0.0072652251829978,,,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/tf/lite-model_mobilenet_v3_small_100_224_uint8_1/lite-model_mobilenet_v3_small_100_224_uint8_1_tf_class_2024_3_8_12_10_ubuntus_onlylat.csv
lite-model_mobilenet_v3_small_100_224_uint8_1,raspberryos,tf,class,0.007266687825001,,,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/tf/lite-model_mobilenet_v3_small_100_224_uint8_1/lite-model_mobilenet_v3_small_100_224_uint8_1_tf_class_2024_3_10_12_28_raspberryos_onlylat.csv
mobilenetv2-12,ubuntus,onnx,class,0.0823555530399969,,,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/onnx/mobilenetv2-12/mobilenetv2-12_onnx_class_2024_3_8_12_24_ubuntus_onlylat.csv
mobilenetv2-12,raspberryos,onnx,class,0.0865968675609998,,,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/onnx/mobilenetv2-12/mobilenetv2-12_onnx_class_2024_3_9_20_49_raspberryos_onlylat.csv
mobilenetv2-12-int8,ubuntus,onnx,class,0.0301933002579982,,,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/onnx/mobilenetv2-12-int8/mobilenetv2-12-int8_onnx_class_2024_3_8_12_27_ubuntus_onlylat.csv
mobilenetv2-12-int8,raspberryos,onnx,class,0.0305970351920002,,,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/onnx/mobilenetv2-12-int8/mobilenetv2-12-int8_onnx_class_2024_3_9_20_51_raspberryos_onlylat.csv
mobilenetv3_large_100_Opset17,ubuntus,onnx,class,0.0839044617619985,,,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/onnx/mobilenetv3_large_100_Opset17/mobilenetv3_large_100_Opset17_onnx_class_2024_3_8_12_28_ubuntus_onlylat.csv
mobilenetv3_large_100_Opset17,raspberryos,onnx,class,0.0844341945539999,,,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/onnx/mobilenetv3_large_100_Opset17/mobilenetv3_large_100_Opset17_onnx_class_2024_3_9_20_53_raspberryos_onlylat.csv
mobilenetv3_small_050_Opset17,ubuntus,onnx,class,0.0194844045000053,,,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/onnx/mobilenetv3_small_050_Opset17/mobilenetv3_small_050_Opset17_onnx_class_2024_3_8_13_8_ubuntus_onlylat.csv
mobilenetv3_small_050_Opset17,raspberryos,onnx,class,0.0196359955860024,,,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/onnx/mobilenetv3_small_050_Opset17/mobilenetv3_small_050_Opset17_onnx_class_2024_3_9_20_56_raspberryos_onlylat.csv
mobilenetv3_small_075_Opset17,ubuntus,onnx,class,0.0292516279970095,,,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/onnx/mobilenetv3_small_075_Opset17/mobilenetv3_small_075_Opset17_onnx_class_2024_3_8_13_7_ubuntus_onlylat.csv
mobilenetv3_small_075_Opset17,raspberryos,onnx,class,0.0293933647799955,,,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/onnx/mobilenetv3_small_075_Opset17/mobilenetv3_small_075_Opset17_onnx_class_2024_3_9_20_55_raspberryos_onlylat.csv
mobilenet-v2-1.4-224_FP16,ubuntus,ov,class,0.1038850436679976,,,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/ov/mobilenet-v2-1.4-224_FP16/mobilenet-v2-14-224_FP16_ov_class_2024_3_8_13_43_ubuntus_onlylat.csv
mobilenet-v2-1.4-224_FP16,raspberryos,ov,class,0.1069907976209947,,,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/ov/mobilenet-v2-1.4-224_FP16/mobilenet-v2-14-224_FP16_ov_class_2024_3_9_21_17_raspberryos_onlylat.csv
mobilenet-v3-large-1.0-224-tf_FP16,ubuntus,ov,class,0.0495775602390021,,,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/ov/mobilenet-v3-large-1.0-224-tf_FP16/mobilenet-v3-large-10-224-tf_FP16_ov_class_2024_3_8_13_40_ubuntus_onlylat.csv
mobilenet-v3-large-1.0-224-tf_FP16,raspberryos,ov,class,0.0513950676060053,,,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/ov/mobilenet-v3-large-1.0-224-tf_FP16/mobilenet-v3-large-10-224-tf_FP16_ov_class_2024_3_9_21_15_raspberryos_onlylat.csv
mobilenet-v3-small-1.0-224-tf_FP16,ubuntus,ov,class,0.0204702149850035,,,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/ov/mobilenet-v3-small-1.0-224-tf_FP16/mobilenet-v3-small-10-224-tf_FP16_ov_class_2024_3_8_13_42_ubuntus_onlylat.csv
mobilenet-v3-small-1.0-224-tf_FP16,raspberryos,ov,class,0.02115059385000581,,,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/ov/mobilenet-v3-small-1.0-224-tf_FP16/mobilenet-v3-small-10-224-tf_FP16_ov_class_2024_3_9_21_16_raspberryos_onlylat.csv
