,mean latency,thread,api,load
0,0.3876625130510002,False,onnx,default
1,0.3876625130510002,False,onnx,default
2,0.430812885254054,3,onnx,one
3,0.7351776284069983,False,onnx,one
4,0.5317663169040016,2,onnx,two
5,0.8936519344497356,False,onnx,two
6,0.8583940434870019,2,onnx,three
7,0.9930606414334324,False,onnx,three
8,0.4180075074669962,4,ov,default
9,0.4186821348850006,False,ov,default
10,0.4753807687309818,3,ov,one
11,0.549768145318998,False,ov,one
12,0.5895907081141704,2,ov,two
13,0.6217211532000146,False,ov,two
14,0.7144031268208928,False,ov,three
15,0.7144031268208928,False,ov,three
16,0.3719296604240171,4,delegate,default
17,0.3719948158840161,False,delegate,default
18,0.4034299533310241,3,delegate,one
19,0.4829250555530107,False,delegate,one
20,0.4740836162791674,2,delegate,two
21,0.5180091733009322,False,delegate,two
22,0.6598353488620633,4,delegate,three
23,0.6659646474579058,False,delegate,three
24,0.3086282196590282,4,tf,default
25,0.6145969998829969,False,tf,default
26,0.3588171528240086,3,tf,one
27,0.6475824735310031,False,tf,one
28,0.4515184321876295,2,tf,two
29,0.6781197989814828,False,tf,two
30,0.704249947693097,False,tf,three
31,0.704249947693097,False,tf,three
