,model_name,latency,thread,api,load
0,onnx,0.4765750850000358,False,onnx,default
1,onnx,0.4393251289999966,False,onnx,default
2,onnx,0.3903596609999908,False,onnx,default
3,onnx,0.3839879460000475,False,onnx,default
4,onnx,0.388439212000037,False,onnx,default
5,onnx,0.3876464179999743,False,onnx,default
6,onnx,0.3881967940000095,False,onnx,default
7,onnx,0.3880092410000202,False,onnx,default
8,onnx,0.3862220829999501,False,onnx,default
9,onnx,0.3862223359999461,False,onnx,default
10,onnx,0.3861965969999801,False,onnx,default
11,onnx,0.3866238999999609,False,onnx,default
12,onnx,0.3882847120000292,False,onnx,default
13,onnx,0.3913886739999839,False,onnx,default
14,onnx,0.3882744670000306,False,onnx,default
15,onnx,0.3879586959999983,False,onnx,default
16,onnx,0.3877673890000324,False,onnx,default
17,onnx,0.3866602100000023,False,onnx,default
18,onnx,0.3878797749999876,False,onnx,default
19,onnx,0.3870458719999874,False,onnx,default
20,onnx,0.3869246219999809,False,onnx,default
21,onnx,0.3870546850000096,False,onnx,default
22,onnx,0.3891136710000182,False,onnx,default
23,onnx,0.3864266740000062,False,onnx,default
24,onnx,0.3919260360000294,False,onnx,default
25,onnx,0.3867481490000273,False,onnx,default
26,onnx,0.3861957519999919,False,onnx,default
27,onnx,0.3871361989999968,False,onnx,default
28,onnx,0.3866487770000049,False,onnx,default
29,onnx,0.386415449000026,False,onnx,default
30,onnx,0.3894304180000176,False,onnx,default
31,onnx,0.3869292610000343,False,onnx,default
32,onnx,0.3883914689999983,False,onnx,default
33,onnx,0.3861531939999736,False,onnx,default
34,onnx,0.3879875690000176,False,onnx,default
35,onnx,0.3869260270000154,False,onnx,default
36,onnx,0.3931269060000204,False,onnx,default
37,onnx,0.3877738789999512,False,onnx,default
38,onnx,0.3897585240000012,False,onnx,default
39,onnx,0.3868855760000542,False,onnx,default
40,onnx,0.3864212759999645,False,onnx,default
41,onnx,0.3861335390000135,False,onnx,default
42,onnx,0.3883850269999698,False,onnx,default
43,onnx,0.3870975060000319,False,onnx,default
44,onnx,0.386485332999996,False,onnx,default
45,onnx,0.3866479920000074,False,onnx,default
46,onnx,0.3864807159999941,False,onnx,default
47,onnx,0.3871775979999938,False,onnx,default
48,onnx,0.387215579000042,False,onnx,default
49,onnx,0.3856350340000176,False,onnx,default
50,onnx,0.3912579189999974,False,onnx,default
51,onnx,0.3867295329999933,False,onnx,default
52,onnx,0.3873095330000069,False,onnx,default
53,onnx,0.3854463170000031,False,onnx,default
54,onnx,0.4136791180000045,False,onnx,default
