model_name,os,api,inference type,latency avg,top1,top5,map,miou,latency,thread count,load
onnx,ubuntus,onnx,stress-ng,0.11615668538200052,,,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/default/onnx/mobilenetv3_large_100_Opset17_onnx_class_2024_8_15_13_29_ubuntus_1_onlylat.csv,1,default
onnx,ubuntus,onnx,stress-ng,0.11615668538200052,,,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/default/onnx/mobilenetv3_large_100_Opset17_onnx_class_2024_8_15_13_29_ubuntus_1_onlylat.csv,4,default
onnx,ubuntus,onnx,stress-ng,0.11615668538200052,,,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/default/onnx/mobilenetv3_large_100_Opset17_onnx_class_2024_8_15_13_29_ubuntus_1_onlylat.csv,3,default
onnx,ubuntus,onnx,stress-ng,0.11615668538200052,,,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/default/onnx/mobilenetv3_large_100_Opset17_onnx_class_2024_8_15_13_29_ubuntus_1_onlylat.csv,2,default
onnx,ubuntus,onnx,stress-ng,0.11615668538200052,,,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/default/onnx/mobilenetv3_large_100_Opset17_onnx_class_2024_8_15_13_29_ubuntus_1_onlylat.csv,False,default
openvino,ubuntus,ov,stress-ng,0.0479397422809983,,,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/default/openvino/mobilenet-v3-large-10-224-tf_FP32_ov_class_2024_8_15_13_46_ubuntus_False_onlylat.csv,False,default
openvino,ubuntus,ov,stress-ng,0.0509913259010033,,,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/default/openvino/mobilenet-v3-large-10-224-tf_FP32_ov_class_2024_8_16_14_35_ubuntus_3_onlylat.csv,3,default
openvino,ubuntus,ov,stress-ng,0.0583515133789987,,,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/default/openvino/mobilenet-v3-large-10-224-tf_FP32_ov_class_2024_8_15_14_15_ubuntus_2_onlylat.csv,2,default
openvino,ubuntus,ov,stress-ng,0.0805561009859916,,,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/default/openvino/mobilenet-v3-large-10-224-tf_FP32_ov_class_2024_8_15_14_13_ubuntus_1_onlylat.csv,1,default
openvino,ubuntus,ov,stress-ng,0.048061176216996,,,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/default/openvino/mobilenet-v3-large-10-224-tf_FP32_ov_class_2024_8_16_14_37_ubuntus_4_onlylat.csv,4,default
