                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.75548,                 2.9722,                 1.2901,                0.91521,                0.83911,                0.97586,                0.76169,                 1.1388,                0.57478,                 1.1728,                      0,                      0,                      0
                      2,                 1.0205,                 2.2531,                 1.4985,                0.91479,                0.83885,                0.97435,                0.77573,                 1.1443,                0.58365,                 1.1764,             1.1782e-06,             1.1782e-06,             1.1782e-06
                      3,                0.67771,                 1.9929,                 1.1873,                0.91428,                0.83805,                0.97434,                0.77563,                 1.1401,                0.58793,                 1.1747,             2.3329e-06,             2.3329e-06,             2.3329e-06
                      4,                 0.9801,                 2.0631,                 1.4569,                0.91325,                0.83778,                0.97438,                0.78413,                 1.1404,                0.59788,                 1.1741,              3.464e-06,              3.464e-06,              3.464e-06
                      5,                 0.7762,                0.98756,                 1.1264,                0.91028,                0.83771,                 0.9732,                 0.7665,                  1.135,                0.59832,                 1.1712,             4.5715e-06,             4.5715e-06,             4.5715e-06
                      6,                0.79793,                 1.5642,                 1.2549,                0.90842,                0.83697,                0.97318,                0.78219,                 1.1315,                0.60451,                 1.1706,             5.6555e-06,             5.6555e-06,             5.6555e-06
                      7,                 0.7823,                 1.1747,                 1.2053,                0.90507,                 0.8361,                0.97319,                0.78226,                 1.1249,                0.60456,                 1.1658,             6.7159e-06,             6.7159e-06,             6.7159e-06
                      8,                  0.861,                0.99367,                 1.4389,                0.90103,                0.83545,                0.97321,                0.78936,                 1.1257,                0.61056,                 1.1677,             7.7527e-06,             7.7527e-06,             7.7527e-06
                      9,                0.77517,                0.62809,                 1.3075,                0.89463,                0.83594,                0.97321,                0.77278,                 1.1238,                0.61174,                 1.1671,              8.766e-06,              8.766e-06,              8.766e-06
                     10,                0.79033,                 1.0926,                 1.3701,                0.88824,                0.83621,                0.97325,                0.76428,                 1.1291,                0.61868,                 1.1693,             9.7557e-06,             9.7557e-06,             9.7557e-06
                     11,                0.62226,                0.73346,                 1.0603,                0.88053,                0.83764,                0.97445,                0.78002,                 1.1269,                0.62403,                 1.1675,             1.0722e-05,             1.0722e-05,             1.0722e-05
                     12,                0.69961,                0.76337,                 1.0424,                0.78628,                0.91588,                0.97626,                0.78119,                 1.1216,                0.61796,                 1.1664,             1.1664e-05,             1.1664e-05,             1.1664e-05
                     13,                0.65276,                 0.6241,                 1.1225,                0.77759,                0.91868,                0.97625,                0.78324,                 1.1215,                0.62633,                 1.1662,             1.2584e-05,             1.2584e-05,             1.2584e-05
                     14,                0.82576,                  1.041,                 1.3166,                0.77233,                0.92198,                0.97627,                0.78076,                 1.1168,                0.63145,                 1.1586,             1.3479e-05,             1.3479e-05,             1.3479e-05
                     15,                0.49829,                0.50164,                 1.0361,                0.76667,                0.92403,                0.97624,                0.78079,                  1.114,                 0.6508,                 1.1558,             1.4351e-05,             1.4351e-05,             1.4351e-05
                     16,                0.58587,                 0.7692,                 1.1025,                0.76277,                0.92828,                 0.9762,                0.78047,                  1.105,                0.65904,                 1.1512,             1.5199e-05,             1.5199e-05,             1.5199e-05
                     17,                0.67075,                0.51396,                 1.2046,                0.75868,                0.93082,                0.97759,                0.77992,                 1.1113,                0.68816,                  1.152,             1.6024e-05,             1.6024e-05,             1.6024e-05
                     18,                0.54128,                0.51991,                  1.146,                0.75868,                0.93082,                0.97759,                0.77992,                 1.1113,                0.68816,                  1.152,             1.6825e-05,             1.6825e-05,             1.6825e-05
                     19,                0.74665,                0.86706,                 1.3097,                0.92634,                0.79153,                0.94976,                0.77003,                 1.1136,                0.71054,                 1.1491,             1.7603e-05,             1.7603e-05,             1.7603e-05
                     20,                0.59709,                0.58493,                 1.1532,                0.92634,                0.79153,                0.94976,                0.77003,                 1.1136,                0.71054,                 1.1491,             1.8357e-05,             1.8357e-05,             1.8357e-05
                     21,                  0.533,                0.46524,                 1.0335,                0.92777,                0.79415,                0.94975,                0.76859,                 1.1274,                0.74753,                 1.1578,             1.9088e-05,             1.9088e-05,             1.9088e-05
                     22,                0.67825,                0.45115,                 1.2022,                0.92777,                0.79415,                0.94975,                0.76859,                 1.1274,                0.74753,                 1.1578,             1.9795e-05,             1.9795e-05,             1.9795e-05
                     23,                0.67615,                0.44333,                 1.0986,                0.94075,                 0.7996,                0.97751,                0.77396,                 1.1352,                 0.8008,                 1.1603,             2.0478e-05,             2.0478e-05,             2.0478e-05
                     24,                0.50835,                0.56562,                 0.9932,                0.94075,                 0.7996,                0.97751,                0.77396,                 1.1352,                 0.8008,                 1.1603,             2.1138e-05,             2.1138e-05,             2.1138e-05
                     25,                 0.7129,                0.48138,                 1.1468,                 0.7595,                0.93473,                0.94978,                0.75779,                 1.1439,                 0.8604,                 1.1728,             2.1774e-05,             2.1774e-05,             2.1774e-05
                     26,                 0.5812,                0.56561,                 1.0704,                 0.7595,                0.93473,                0.94978,                0.75779,                 1.1439,                 0.8604,                 1.1728,             2.2387e-05,             2.2387e-05,             2.2387e-05
                     27,                0.59178,                0.42353,                 1.0476,                0.86791,                0.80684,                0.93587,                 0.7074,                 1.1356,                0.95078,                 1.1657,             2.2976e-05,             2.2976e-05,             2.2976e-05
                     28,                 0.5527,                0.35348,                0.97069,                0.86791,                0.80684,                0.93587,                 0.7074,                 1.1356,                0.95078,                 1.1657,             2.3542e-05,             2.3542e-05,             2.3542e-05
                     29,                0.48818,                0.38968,                0.98069,                0.75374,                0.88333,                0.92754,                0.71978,                 1.1478,                 1.0604,                 1.1772,             2.4084e-05,             2.4084e-05,             2.4084e-05
                     30,                0.58511,                0.44935,                 1.1232,                0.75374,                0.88333,                0.92754,                0.71978,                 1.1478,                 1.0604,                 1.1772,             2.4602e-05,             2.4602e-05,             2.4602e-05
                     31,                0.39604,                0.40607,                0.89419,                 0.8472,                0.70491,                0.83906,                0.64281,                 1.1639,                 1.1789,                 1.1932,             2.5097e-05,             2.5097e-05,             2.5097e-05
                     32,                 0.3669,                0.30343,                0.87422,                 0.8472,                0.70491,                0.83906,                0.64281,                 1.1639,                 1.1789,                 1.1932,             2.5568e-05,             2.5568e-05,             2.5568e-05
                     33,                 0.7016,                0.73347,                 1.2873,                0.81348,                0.71667,                0.83909,                0.64304,                 1.1629,                 1.2633,                 1.1983,             2.6016e-05,             2.6016e-05,             2.6016e-05
                     34,                0.64344,                 0.5374,                 1.1753,                0.81348,                0.71667,                0.83909,                0.64304,                 1.1629,                 1.2633,                 1.1983,              2.644e-05,              2.644e-05,              2.644e-05
                     35,                0.50951,                0.44991,                  1.017,                0.78017,                0.71667,                0.83769,                0.64168,                 1.1758,                 1.3795,                 1.2053,             2.6841e-05,             2.6841e-05,             2.6841e-05
                     36,                0.43881,                0.37696,                0.99272,                0.78017,                0.71667,                0.83769,                0.64168,                 1.1758,                 1.3795,                 1.2053,             2.7218e-05,             2.7218e-05,             2.7218e-05
                     37,                0.55712,                0.52952,                  1.007,                0.70875,                0.71667,                0.83756,                0.64282,                 1.1915,                 1.4705,                 1.2119,             2.7572e-05,             2.7572e-05,             2.7572e-05
                     38,                0.48059,                0.47837,                 1.0425,                0.70875,                0.71667,                0.83756,                0.64282,                 1.1915,                 1.4705,                 1.2119,             2.7902e-05,             2.7902e-05,             2.7902e-05
                     39,                0.52667,                0.57495,                 1.1509,                0.75686,                0.71667,                0.80994,                0.60059,                 1.2031,                 1.5096,                 1.2169,             2.8208e-05,             2.8208e-05,             2.8208e-05
                     40,                0.40382,                0.31655,                0.89426,                0.75686,                0.71667,                0.80994,                0.60059,                 1.2031,                 1.5096,                 1.2169,             2.8491e-05,             2.8491e-05,             2.8491e-05
