         463 function calls (442 primitive calls) in 2.929 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    2.919    2.919 segmentation.py:756(tflite_runtime)
        1    2.306    2.306    2.306    2.306 /home/pi/.local/lib/python3.8/site-packages/tflite_runtime/interpreter.py:904(invoke)
        1    0.460    0.460    0.563    0.563 segmentation.py:345(output_data_tflite_runtime)
        1    0.000    0.000    0.047    0.047 segmentation.py:270(vis_segmentation_cv2)
        4    0.000    0.000    0.031    0.008 {built-in method numpy.core._multiarray_umath.implement_array_function}
       22    0.029    0.001    0.029    0.001 {resize}
        1    0.001    0.001    0.026    0.026 segmentation.py:644(preprocess_image_tflite_deeplabv3)
        2    0.026    0.013    0.026    0.013 {imwrite}
        2    0.023    0.012    0.023    0.012 {imread}
        1    0.000    0.000    0.017    0.017 <__array_function__ internals>:177(argmax)
        1    0.000    0.000    0.017    0.017 /home/pi/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:1153(argmax)
        1    0.000    0.000    0.017    0.017 /home/pi/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:51(_wrapfunc)
        1    0.017    0.017    0.017    0.017 {method 'argmax' of 'numpy.ndarray' objects}
        1    0.014    0.014    0.014    0.014 segmentation.py:247(label_to_color_image)
        1    0.000    0.000    0.014    0.014 <__array_function__ internals>:177(unique)
        1    0.000    0.000    0.013    0.013 /home/pi/.local/lib/python3.8/site-packages/numpy/lib/arraysetops.py:138(unique)
        1    0.002    0.002    0.013    0.013 /home/pi/.local/lib/python3.8/site-packages/numpy/lib/arraysetops.py:323(_unique1d)
        1    0.010    0.010    0.010    0.010 /home/pi/.local/lib/python3.8/site-packages/tflite_runtime/interpreter.py:502(__del__)
        1    0.009    0.009    0.009    0.009 {method 'sort' of 'numpy.ndarray' objects}
        2    0.007    0.004    0.007    0.004 {method 'astype' of 'numpy.ndarray' objects}
        1    0.006    0.006    0.006    0.006 /home/pi/.local/lib/python3.8/site-packages/tflite_runtime/interpreter.py:511(allocate_tensors)
        1    0.006    0.006    0.006    0.006 {normalize}
        1    0.004    0.004    0.004    0.004 /home/pi/.local/lib/python3.8/site-packages/tflite_runtime/interpreter.py:681(set_tensor)
        1    0.003    0.003    0.003    0.003 {method 'flatten' of 'numpy.ndarray' objects}
        1    0.002    0.002    0.002    0.002 {addWeighted}
        1    0.000    0.000    0.001    0.001 /home/pi/.local/lib/python3.8/site-packages/tflite_runtime/interpreter.py:396(__init__)
        1    0.001    0.001    0.001    0.001 {built-in method tflite_runtime._pywrap_tensorflow_interpreter_wrapper.CreateWrapperFromFile}
        7    0.001    0.000    0.001    0.000 {built-in method builtins.print}
        1    0.000    0.000    0.001    0.001 <__array_function__ internals>:177(amax)
        1    0.000    0.000    0.001    0.001 /home/pi/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2703(amax)
        1    0.000    0.000    0.001    0.001 /home/pi/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:69(_wrapreduction)
        1    0.001    0.001    0.001    0.001 {method 'reduce' of 'numpy.ufunc' objects}
        1    0.000    0.000    0.001    0.001 /home/pi/.local/lib/python3.8/site-packages/numpy/core/arrayprint.py:1571(_array_str_implementation)
        1    0.000    0.000    0.001    0.001 /home/pi/.local/lib/python3.8/site-packages/numpy/core/arrayprint.py:561(array2string)
        1    0.000    0.000    0.000    0.000 /home/pi/.local/lib/python3.8/site-packages/numpy/core/arrayprint.py:506(wrapper)
        1    0.000    0.000    0.000    0.000 /home/pi/.local/lib/python3.8/site-packages/tflite_runtime/interpreter.py:837(get_tensor)
        1    0.000    0.000    0.000    0.000 /home/pi/.local/lib/python3.8/site-packages/numpy/core/arrayprint.py:523(_array2string)
        1    0.000    0.000    0.000    0.000 /home/pi/.local/lib/python3.8/site-packages/numpy/core/arrayprint.py:780(_formatArray)
     22/1    0.000    0.000    0.000    0.000 /home/pi/.local/lib/python3.8/site-packages/numpy/core/arrayprint.py:789(recurser)
        1    0.000    0.000    0.000    0.000 {built-in method io.open}
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(expand_dims)
