         8269 function calls (8007 primitive calls) in 25.809 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   25.809   25.809 detection.py:613(onnx_runtime)
        1    0.000    0.000   24.204   24.204 /home/pi/.local/lib/python3.8/site-packages/onnxruntime/capi/onnxruntime_inference_collection.py:308(__init__)
        1   24.204   24.204   24.204   24.204 /home/pi/.local/lib/python3.8/site-packages/onnxruntime/capi/onnxruntime_inference_collection.py:371(_create_inference_session)
        1    1.178    1.178    1.178    1.178 /home/pi/.local/lib/python3.8/site-packages/onnxruntime/capi/onnxruntime_inference_collection.py:178(run)
        1    0.300    0.300    0.300    0.300 /home/pi/.local/lib/python3.8/site-packages/onnxruntime/capi/onnxruntime_inference_collection.py:258(end_profiling)
        1    0.000    0.000    0.090    0.090 detection.py:324(preprocess_image_onnx_ssd_mobilenet_v1)
        1    0.071    0.071    0.071    0.071 {built-in method numpy.array}
        1    0.003    0.003    0.033    0.033 detection.py:229(output_data_onnx)
        7    0.001    0.000    0.022    0.003 {built-in method builtins.print}
        3    0.000    0.000    0.020    0.007 /home/pi/.local/lib/python3.8/site-packages/numpy/core/arrayprint.py:1571(_array_str_implementation)
        3    0.000    0.000    0.020    0.007 /home/pi/.local/lib/python3.8/site-packages/numpy/core/arrayprint.py:561(array2string)
        3    0.000    0.000    0.020    0.007 /home/pi/.local/lib/python3.8/site-packages/numpy/core/arrayprint.py:506(wrapper)
        3    0.000    0.000    0.020    0.007 /home/pi/.local/lib/python3.8/site-packages/numpy/core/arrayprint.py:523(_array2string)
        1    0.000    0.000    0.017    0.017 /home/pi/.local/lib/python3.8/site-packages/PIL/Image.py:3174(open)
        1    0.000    0.000    0.016    0.016 /home/pi/.local/lib/python3.8/site-packages/PIL/Image.py:321(preinit)
     13/5    0.000    0.000    0.016    0.003 <frozen importlib._bootstrap>:1017(_handle_fromlist)
     19/5    0.000    0.000    0.016    0.003 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
      9/5    0.000    0.000    0.016    0.003 {built-in method builtins.__import__}
     10/5    0.000    0.000    0.016    0.003 <frozen importlib._bootstrap>:986(_find_and_load)
     10/5    0.000    0.000    0.016    0.003 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
     10/5    0.000    0.000    0.014    0.003 <frozen importlib._bootstrap>:650(_load_unlocked)
     10/5    0.000    0.000    0.014    0.003 <frozen importlib._bootstrap_external>:842(exec_module)
        3    0.000    0.000    0.013    0.004 /home/pi/.local/lib/python3.8/site-packages/numpy/core/arrayprint.py:780(_formatArray)
    206/3    0.004    0.000    0.013    0.004 /home/pi/.local/lib/python3.8/site-packages/numpy/core/arrayprint.py:789(recurser)
     10/5    0.000    0.000    0.010    0.002 {built-in method builtins.exec}
        3    0.000    0.000    0.007    0.002 /home/pi/.local/lib/python3.8/site-packages/numpy/core/arrayprint.py:452(_get_format_function)
        1    0.007    0.007    0.007    0.007 {imwrite}
        3    0.000    0.000    0.007    0.002 /home/pi/.local/lib/python3.8/site-packages/numpy/core/arrayprint.py:411(<lambda>)
        3    0.000    0.000    0.007    0.002 /home/pi/.local/lib/python3.8/site-packages/numpy/core/arrayprint.py:907(__init__)
        3    0.002    0.001    0.007    0.002 /home/pi/.local/lib/python3.8/site-packages/numpy/core/arrayprint.py:934(fillFormat)
       10    0.000    0.000    0.006    0.001 <frozen importlib._bootstrap_external>:914(get_code)
      201    0.004    0.000    0.006    0.000 /home/pi/.local/lib/python3.8/site-packages/numpy/core/arrayprint.py:1018(__call__)
        1    0.000    0.000    0.004    0.004 /home/pi/.local/lib/python3.8/site-packages/PIL/JpegImagePlugin.py:34(<module>)
       10    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:638(_compile_bytecode)
       10    0.003    0.000    0.003    0.000 {built-in method marshal.loads}
      201    0.001    0.000    0.003    0.000 /home/pi/.local/lib/python3.8/site-packages/numpy/core/arrayprint.py:753(_extendLine_pretty)
       31    0.001    0.000    0.003    0.000 {built-in method builtins.__build_class__}
      204    0.001    0.000    0.003    0.000 /home/pi/.local/lib/python3.8/site-packages/numpy/core/arrayprint.py:989(<genexpr>)
       10    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:890(_find_spec)
        1    0.000    0.000    0.002    0.002 /home/pi/.local/lib/python3.8/site-packages/PIL/GifImagePlugin.py:27(<module>)
        1    0.000    0.000    0.002    0.002 /home/pi/.local/lib/python3.8/site-packages/PIL/PngImagePlugin.py:34(<module>)
      204    0.001    0.000    0.002    0.000 /home/pi/.local/lib/python3.8/site-packages/numpy/core/arrayprint.py:984(<genexpr>)
      402    0.002    0.000    0.002    0.000 {built-in method numpy.core._multiarray_umath.dragon4_positional}
       10    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1399(find_spec)
       10    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1367(_get_spec)
       10    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1498(find_spec)
        1    0.002    0.002    0.002    0.002 {imread}
      201    0.001    0.000    0.002    0.000 /home/pi/.local/lib/python3.8/site-packages/numpy/core/arrayprint.py:739(_extendLine)
        1    0.001    0.001    0.002    0.002 /home/pi/.local/lib/python3.8/site-packages/PIL/TiffImagePlugin.py:41(<module>)
        1    0.000    0.000    0.001    0.001 /home/pi/.local/lib/python3.8/site-packages/PIL/BmpImagePlugin.py:27(<module>)
       10    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1034(get_data)
       30    0.000    0.000    0.001    0.000 {built-in method builtins.max}
        1    0.000    0.000    0.001    0.001 /home/pi/.local/lib/python3.8/site-packages/PIL/Image.py:1363(getdata)
        1    0.000    0.000    0.001    0.001 /home/pi/.local/lib/python3.8/site-packages/PIL/ImageFile.py:155(load)
        2    0.001    0.001    0.001    0.001 {method 'astype' of 'numpy.ndarray' objects}
        3    0.000    0.000    0.001    0.000 /usr/lib/python3.8/enum.py:157(__new__)
       30    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
       30    0.001    0.000    0.001    0.000 {built-in method posix.stat}
       10    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
1911/1907    0.001    0.000    0.001    0.000 {built-in method builtins.len}
        1    0.001    0.001    0.001    0.001 {method 'decode' of 'ImagingDecoder' objects}
       10    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
        7    0.000    0.000    0.001    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
       10    0.001    0.000    0.001    0.000 {built-in method io.open_code}
        2    0.000    0.000    0.001    0.000 /usr/lib/python3.8/re.py:250(compile)
        2    0.000    0.000    0.001    0.000 /usr/lib/python3.8/re.py:289(_compile)
       20    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:354(cache_from_source)
        2    0.000    0.000    0.001    0.000 /usr/lib/python3.8/sre_compile.py:759(compile)
       20    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:376(cached)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:484(_get_cached)
        3    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(amax)
       44    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
        2    0.000    0.000    0.000    0.000 {built-in method io.open}
