         20723 function calls (20441 primitive calls) in 2.193 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.002    0.002    2.193    2.193 classification_v2.py:511(onnx_runtime)
        8    1.486    0.186    1.486    0.186 /home/pi/.local/lib/python3.8/site-packages/onnxruntime/capi/onnxruntime_inference_collection.py:178(run)
        8    0.028    0.003    0.489    0.061 classification_v2.py:199(preprocess_image_onnx_mobilenet2)
        8    0.001    0.000    0.361    0.045 /home/pi/.local/lib/python3.8/site-packages/PIL/Image.py:2089(resize)
        8    0.231    0.029    0.231    0.029 {method 'resize' of 'ImagingCore' objects}
       16    0.002    0.000    0.129    0.008 /home/pi/.local/lib/python3.8/site-packages/PIL/ImageFile.py:155(load)
     31/6    0.001    0.000    0.129    0.021 <frozen importlib._bootstrap>:986(_find_and_load)
     31/6    0.001    0.000    0.128    0.021 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
        1    0.000    0.000    0.127    0.127 /home/pi/.local/lib/python3.8/site-packages/onnxruntime/capi/onnxruntime_inference_collection.py:308(__init__)
     51/6    0.000    0.000    0.127    0.021 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
        1    0.127    0.127    0.127    0.127 /home/pi/.local/lib/python3.8/site-packages/onnxruntime/capi/onnxruntime_inference_collection.py:371(_create_inference_session)
     28/6    0.001    0.000    0.118    0.020 <frozen importlib._bootstrap>:650(_load_unlocked)
       12    0.117    0.010    0.117    0.010 {method 'decode' of 'ImagingDecoder' objects}
     25/6    0.000    0.000    0.117    0.019 <frozen importlib._bootstrap_external>:842(exec_module)
     26/6    0.001    0.000    0.109    0.018 {built-in method builtins.exec}
        8    0.001    0.000    0.088    0.011 /home/pi/.local/lib/python3.8/site-packages/PIL/Image.py:3174(open)
     20/9    0.000    0.000    0.081    0.009 {built-in method builtins.__import__}
    21/10    0.000    0.000    0.080    0.008 <frozen importlib._bootstrap>:1017(_handle_fromlist)
        8    0.000    0.000    0.078    0.010 /home/pi/.local/lib/python3.8/site-packages/PIL/Image.py:321(preinit)
       28    0.000    0.000    0.053    0.002 <frozen importlib._bootstrap>:549(module_from_spec)
        1    0.000    0.000    0.049    0.049 /home/pi/.local/lib/python3.8/site-packages/onnxruntime/__init__.py:5(<module>)
        2    0.000    0.000    0.048    0.024 <frozen importlib._bootstrap_external>:1164(create_module)
