model_name,os,api,inference type,latency avg,top1,top5,map,miou,latency
lite-model_mobilenet_v3_small_100_224_uint8_1,ubuntus,tf,class,0.0072652251829978,0.7107,0.7636,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/tf/lite-model_mobilenet_v3_small_100_224_uint8_1/lite-model_mobilenet_v3_small_100_224_uint8_1_tf_class_2024_3_8_12_10_ubuntus_onlylat.csv
lite-model_mobilenet_v3_small_100_224_uint8_1,raspberryos,tf,class,0.007266687825001,0.7107,0.7636,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/tf/lite-model_mobilenet_v3_small_100_224_uint8_1/lite-model_mobilenet_v3_small_100_224_uint8_1_tf_class_2024_3_10_12_28_raspberryos_onlylat.csv
mobilenetv2-12,ubuntus,onnx,class,0.0823555530399969,0.7292,0.8159,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/onnx/mobilenetv2-12/mobilenetv2-12_onnx_class_2024_3_8_12_24_ubuntus_onlylat.csv
mobilenetv2-12,raspberryos,onnx,class,0.0865968675609998,0.7292,0.8159,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/onnx/mobilenetv2-12/mobilenetv2-12_onnx_class_2024_3_9_20_49_raspberryos_onlylat.csv
mobilenetv2-12-int8,ubuntus,onnx,class,0.0301933002579982,0.7126,0.7896,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/onnx/mobilenetv2-12-int8/mobilenetv2-12-int8_onnx_class_2024_3_8_12_27_ubuntus_onlylat.csv
mobilenetv2-12-int8,raspberryos,onnx,class,0.0305970351920002,0.7126,0.7896,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/onnx/mobilenetv2-12-int8/mobilenetv2-12-int8_onnx_class_2024_3_9_20_51_raspberryos_onlylat.csv
mobilenetv3_large_100_Opset17,ubuntus,onnx,class,0.0839044617619985,0.8128,0.8877,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/onnx/mobilenetv3_large_100_Opset17/mobilenetv3_large_100_Opset17_onnx_class_2024_3_8_12_28_ubuntus_onlylat.csv
mobilenetv3_large_100_Opset17,raspberryos,onnx,class,0.0844341945539999,0.8128,0.8877,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/onnx/mobilenetv3_large_100_Opset17/mobilenetv3_large_100_Opset17_onnx_class_2024_3_9_20_53_raspberryos_onlylat.csv
mobilenetv3_small_050_Opset17,ubuntus,onnx,class,0.0194844045000053,0.6178,0.7009,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/onnx/mobilenetv3_small_050_Opset17/mobilenetv3_small_050_Opset17_onnx_class_2024_3_8_13_8_ubuntus_onlylat.csv
mobilenetv3_small_050_Opset17,raspberryos,onnx,class,0.0196359955860024,0.6178,0.7009,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/onnx/mobilenetv3_small_050_Opset17/mobilenetv3_small_050_Opset17_onnx_class_2024_3_9_20_56_raspberryos_onlylat.csv
mobilenetv3_small_075_Opset17,ubuntus,onnx,class,0.0292516279970095,0.7176,0.7963,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/onnx/mobilenetv3_small_075_Opset17/mobilenetv3_small_075_Opset17_onnx_class_2024_3_8_13_7_ubuntus_onlylat.csv
mobilenetv3_small_075_Opset17,raspberryos,onnx,class,0.0293933647799955,0.7176,0.7963,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/onnx/mobilenetv3_small_075_Opset17/mobilenetv3_small_075_Opset17_onnx_class_2024_3_9_20_55_raspberryos_onlylat.csv
mobilenet-v2-1.4-224_FP16,ubuntus,ov,class,0.1038850436679976,0.8786,0.945,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/ov/mobilenet-v2-1.4-224_FP16/mobilenet-v2-14-224_FP16_ov_class_2024_3_8_13_43_ubuntus_onlylat.csv
mobilenet-v2-1.4-224_FP16,raspberryos,ov,class,0.1069907976209947,0.8786,0.945,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/ov/mobilenet-v2-1.4-224_FP16/mobilenet-v2-14-224_FP16_ov_class_2024_3_9_21_17_raspberryos_onlylat.csv
mobilenet-v3-large-1.0-224-tf_FP16,ubuntus,ov,class,0.0495775602390021,0.8758,0.9454,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/ov/mobilenet-v3-large-1.0-224-tf_FP16/mobilenet-v3-large-10-224-tf_FP16_ov_class_2024_3_8_13_40_ubuntus_onlylat.csv
mobilenet-v3-large-1.0-224-tf_FP16,raspberryos,ov,class,0.0513950676060053,0.8758,0.9454,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/ov/mobilenet-v3-large-1.0-224-tf_FP16/mobilenet-v3-large-10-224-tf_FP16_ov_class_2024_3_9_21_15_raspberryos_onlylat.csv
mobilenet-v3-small-1.0-224-tf_FP16,ubuntus,ov,class,0.0204702149850035,0.8046,0.8793,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/ov/mobilenet-v3-small-1.0-224-tf_FP16/mobilenet-v3-small-10-224-tf_FP16_ov_class_2024_3_8_13_42_ubuntus_onlylat.csv
