,Model,Frameworks,inference type,Mean Latency [s],Top1,Top5,mAP,mIoU,latency,Median Latency [s],Standard Deviation [s],Variance [s²]
24,MobileNetV3 Small,PyTorch,class,0.075850074197998,0.8246,0.8974,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/pytorch/mobilenet_v3_small/_pytorch_class_2024_6_13_15_9_ubuntus_3_onlylat.csv,0.0745662089999541,0.02721959315126789,0.0007409062513205498
26,MobileNetV2,PyTorch,class,0.2633356338730073,0.8655,0.9284,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/pytorch/mobilenet_v2/_pytorch_class_2024_6_13_15_11_ubuntus_3_onlylat.csv,0.2624064450001242,0.05272281150828379,0.002779694853338022
28,MobileNetV2,Arm NN Delegate,class,0.0543979899110035,0.8542,0.924,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/delegate/lite-model_mobilenet_v2_100_224_fp32_1/lite-model_mobilenet_v2_100_224_fp32_1_delegate_class_2024_6_13_15_29_ubuntus_3_onlylat.csv,0.05424247099995225,0.0023628634142867466,5.583123514574822e-06
29,MobileNetV2 INT8,Arm NN Delegate,class,0.0306642976020006,0.8479,0.9171,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/delegate/lite-model_mobilenet_v2_100_224_uint8_1/lite-model_mobilenet_v2_100_224_uint8_1_delegate_class_2024_6_13_15_31_ubuntus_3_onlylat.csv,0.030562353999812247,0.0018515781896266503,3.4283417923011035e-06
30,MobileNetV3 Large,Arm NN Delegate,class,0.0458720216049968,0.8556,0.9232,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/delegate/lite-model_mobilenet_v3_large_100_224_fp32_1/lite-model_mobilenet_v3_large_100_224_fp32_1_delegate_class_2024_6_13_15_22_ubuntus_3_onlylat.csv,0.045716221000020554,0.0033526778758967944,1.124044893952784e-05
31,MobileNetV3 Large INT8,Arm NN Delegate,class,0.029657003852003,0.8556,0.913,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/delegate/lite-model_mobilenet_v3_large_100_224_uint8_1/lite-model_mobilenet_v3_large_100_224_uint8_1_delegate_class_2024_6_13_15_24_ubuntus_3_onlylat.csv,0.0295146100002057,0.0029131822046528874,8.486630557506257e-06
32,MobileNetV3 Small,Arm NN Delegate,class,0.0195357919339971,0.8038,0.8747,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/delegate/lite-model_mobilenet_v3_small_100_224_fp32_1/lite-model_mobilenet_v3_small_100_224_fp32_1_delegate_class_2024_6_13_15_25_ubuntus_3_onlylat.csv,0.0194804674999886,0.0013974233318201645,1.9527919683153697e-06
33,MobileNetV3 Small INT8,Arm NN Delegate,class,0.0135534431180003,0.7268,0.7653,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/delegate/lite-model_mobilenet_v3_small_100_224_uint8_1/lite-model_mobilenet_v3_small_100_224_uint8_1_delegate_class_2024_6_13_15_26_ubuntus_3_onlylat.csv,0.01351164299990155,0.0011461710835524684,1.3137081527718394e-06
34,Yolov5l,TFLite,det,6.541665149214999,,,0.361,,/Users/marounel-chayeb/BacArbeit/final_results/results/det/tf/yolov5l/yolov5l-fp16_tf_det_2024_5_22_10_9_ubuntus_3_onlylat.csv,6.553858817999753,0.07972555532017096,0.0063561641711096396
35,Yolov5m,TFLite,det,2.7897835843379934,,,0.318,,/Users/marounel-chayeb/BacArbeit/final_results/results/det/tf/yolov5m/yolov5m-fp16_tf_det_2024_5_22_11_59_ubuntus_3_onlylat.csv,2.7693464495000626,0.07012222534954404,0.004917126487972237
36,Yolov5n,TFLite,det,0.3239334988420141,,,0.154,,/Users/marounel-chayeb/BacArbeit/final_results/results/det/tf/yolov5n/yolov5n-fp16_tf_det_2024_5_22_12_47_ubuntus_3_onlylat.csv,0.32359219399950234,0.0042263757637538415,1.7862252096445867e-05
37,Yolov5s,TFLite,det,0.9548971229069666,,,0.238,,/Users/marounel-chayeb/BacArbeit/final_results/results/det/tf/yolov5s/yolov5s-fp16_tf_det_2024_5_22_12_53_ubuntus_3_onlylat.csv,0.9520694604998426,0.010338866282463853,0.00010689215600666794
38,Yolov5l,ONNX,det,5.217692227631001,,,0.361,,/Users/marounel-chayeb/BacArbeit/final_results/results/det/onnx/yolov5l/yolov5l_onnx_det_2024_5_22_13_47_ubuntus_3_onlylat.csv,5.216540528500445,0.007598308257529407,5.7734288376439576e-05
