,latency,thread count,API,Load
0,0.1238920319999579,1,onnx,No load
1,0.1153709860000162,1,onnx,No load
2,0.1155960390000245,1,onnx,No load
3,0.1156624820000615,1,onnx,No load
4,0.1157673720000502,1,onnx,No load
5,0.1161873879999575,1,onnx,No load
6,0.1159820569999965,1,onnx,No load
7,0.1152786559999867,1,onnx,No load
8,0.1161930729999767,1,onnx,No load
9,0.1155678750000106,1,onnx,No load
10,0.1160484079999832,1,onnx,No load
11,0.1163214800000105,1,onnx,No load
12,0.1166004430000384,1,onnx,No load
13,0.1163373159999991,1,onnx,No load
14,0.1164649260000487,1,onnx,No load
15,0.1165376469999728,1,onnx,No load
16,0.1165049440000984,1,onnx,No load
17,0.1162973899999997,1,onnx,No load
18,0.1165182949999916,1,onnx,No load
19,0.1164753919999839,1,onnx,No load
20,0.1164038379999965,1,onnx,No load
21,0.1164487620000045,1,onnx,No load
22,0.1163441709999233,1,onnx,No load
23,0.1164114109999445,1,onnx,No load
24,0.1162991349999629,1,onnx,No load
25,0.1167087229999879,1,onnx,No load
26,0.1162850079999771,1,onnx,No load
27,0.1165839320000259,1,onnx,No load
28,0.1163848770000868,1,onnx,No load
29,0.1165955980000035,1,onnx,No load
30,0.1164918759999409,1,onnx,No load
31,0.1164888950000886,1,onnx,No load
32,0.1165226910000001,1,onnx,No load
33,0.116412600999979,1,onnx,No load
34,0.1164390469999716,1,onnx,No load
35,0.1162760120000712,1,onnx,No load
36,0.1164481580000256,1,onnx,No load
37,0.1163873250000051,1,onnx,No load
38,0.1166165629999795,1,onnx,No load
39,0.1163566219998983,1,onnx,No load
40,0.1166569529999606,1,onnx,No load
41,0.1165857159999177,1,onnx,No load
42,0.1166107340000053,1,onnx,No load
43,0.1162574960000029,1,onnx,No load
44,0.1163420699999733,1,onnx,No load
45,0.1163015880000557,1,onnx,No load
46,0.1155173189999914,1,onnx,No load
47,0.1163469030000214,1,onnx,No load
48,0.1161098899999615,1,onnx,No load
49,0.1164561829999684,1,onnx,No load
50,0.1162418520000301,1,onnx,No load
51,0.1166533470000104,1,onnx,No load
52,0.1164065530000471,1,onnx,No load
53,0.1162291850000656,1,onnx,No load
54,0.1164417379999349,1,onnx,No load
55,0.1163653529999919,1,onnx,No load
56,0.1166891840000516,1,onnx,No load
57,0.1166250180000361,1,onnx,No load
58,0.1167056090000642,1,onnx,No load
59,0.1166552210000873,1,onnx,No load
60,0.1167212389999576,1,onnx,No load
61,0.1164705749999939,1,onnx,No load
62,0.1165808719999859,1,onnx,No load
63,0.1165844659999493,1,onnx,No load
64,0.1166202620000831,1,onnx,No load
65,0.116637020999974,1,onnx,No load
66,0.1165007810000133,1,onnx,No load
67,0.1165408000000525,1,onnx,No load
68,0.1164271150000786,1,onnx,No load
69,0.1164668010000014,1,onnx,No load
70,0.1162252690000968,1,onnx,No load
71,0.1157387179999887,1,onnx,No load
72,0.1158758650000209,1,onnx,No load
73,0.115714013999991,1,onnx,No load
74,0.115775439999993,1,onnx,No load
75,0.1154707020000387,1,onnx,No load
76,0.1157541620000301,1,onnx,No load
77,0.1158199789999798,1,onnx,No load
78,0.1158204049999085,1,onnx,No load
79,0.1164565660000107,1,onnx,No load
80,0.116060477000019,1,onnx,No load
81,0.1156432959999165,1,onnx,No load
82,0.1155138530000385,1,onnx,No load
83,0.1155649639999865,1,onnx,No load
84,0.1156924829999752,1,onnx,No load
85,0.1154710780000414,1,onnx,No load
86,0.1155641519999335,1,onnx,No load
87,0.1158826299999873,1,onnx,No load
88,0.1155228930000475,1,onnx,No load
