,mean latency,thread,api,load
0,0.0820787913809908,4,onnx,default
1,0.082246985369999,False,onnx,default
2,0.1289522751729919,1,onnx,three
3,0.2164648143620943,False,onnx,three
4,0.0898111342210029,3,onnx,one
5,0.1492147220920092,False,onnx,one
6,0.0989384927610117,2,onnx,two
7,0.198314172831002,False,onnx,two
8,0.0479397422809983,False,ov,default
9,0.0479397422809983,False,ov,default
10,0.0681226615010091,4,ov,three
11,0.0689857582790718,False,ov,three
12,0.0535334376700006,3,ov,one
13,0.0551402397980013,False,ov,one
14,0.0613546758569754,4,ov,two
15,0.0615807318019978,False,ov,two
16,0.0434001170709797,False,delegate,default
17,0.0434001170709797,False,delegate,default
18,0.0741350276910043,1,delegate,three
19,0.0878180380900011,False,delegate,three
20,0.0481659273099944,3,delegate,one
21,0.0612019066190036,False,delegate,one
22,0.055207366567014,2,delegate,two
23,0.0645108369970066,False,delegate,two
24,0.0373705926220081,4,tf,default
25,0.0631363391989879,False,tf,default
26,0.0755894631151531,False,tf,three
27,0.0755894631151531,False,tf,three
28,0.0427529789760004,3,tf,one
29,0.0782631239480396,False,tf,one
30,0.0520221731269993,2,tf,two
31,0.0782631239480396,False,tf,two
