,Frameworks,Mean Latency [s],latency,Core Count,Load,Median Latency [s],Standard Deviation [s],Variance [s²]
61,Arm NN Delegate,0.0481659273099944,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/one/delegate/lite-model_mobilenet_v3_large_100_224_fp32_1_delegate_class_2024_7_29_15_20_ubuntus_3_onlylat.csv,Three Cores,One Core Load,0.04795478500000165,0.003360153577222324,1.1290632062519982e-05
62,Arm NN Delegate,0.0538901142509943,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/one/delegate/lite-model_mobilenet_v3_large_100_224_fp32_1_delegate_class_2024_7_29_15_14_ubuntus_2_onlylat.csv,Two Cores,One Core Load,0.05369779049999575,0.003600779564737647,1.2965613473832239e-05
63,Arm NN Delegate,0.058828134468998,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/one/delegate/lite-model_mobilenet_v3_large_100_224_fp32_1_delegate_class_2024_7_29_15_22_ubuntus_4_onlylat.csv,Four Cores,One Core Load,0.05892790699977005,0.003427628742566729,1.1748638796869576e-05
64,Arm NN Delegate,0.0612019066190036,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/one/delegate/lite-model_mobilenet_v3_large_100_224_fp32_1_delegate_class_2024_8_16_14_51_ubuntus_False_onlylat.csv,Default,One Core Load,0.0589537265000217,0.006507352882640073,4.2345641539204066e-05
65,PyTorch,0.419458041217003,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/one/pytorch/mobilenet_v3_large_pytorch_class_2024_8_16_14_57_ubuntus_False_onlylat.csv,Default,One Core Load,0.41783065650020035,0.05784882601795532,0.003346486671655664
66,PyTorch,0.3335904022290019,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/one/pytorch/mobilenet_v3_large_pytorch_class_2024_8_11_17_44_ubuntus_2_onlylat.csv,Two Cores,One Core Load,0.32835640899998,0.05418685789550864,0.0029362155685880467
67,PyTorch,0.2357347175639943,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/one/pytorch/mobilenet_v3_large_pytorch_class_2024_8_11_17_38_ubuntus_1_onlylat.csv,One Core,One Core Load,0.226720026500061,0.05467902080645215,0.0029897953163524273
68,PyTorch,0.4189664614099911,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/one/pytorch/mobilenet_v3_large_pytorch_class_2024_8_11_18_39_ubuntus_4_onlylat.csv,Four Cores,One Core Load,0.41493118250036787,0.0564116518726973,0.0031822744670063933
69,PyTorch,0.3672422413879921,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/one/pytorch/mobilenet_v3_large_pytorch_class_2024_8_11_18_32_ubuntus_3_onlylat.csv,Three Cores,One Core Load,0.367437285500273,0.06030978557789083,0.0036372702364511687
70,TFLite,0.0671744832719994,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/one/tf/lite-model_mobilenet_v3_large_100_224_fp32_1_tf_class_2024_7_29_14_52_ubuntus_1_onlylat.csv,One Core,One Core Load,0.0671482129999674,0.0005379744068765208,2.894164624541444e-07
71,TFLite,0.0427529789760004,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/one/tf/lite-model_mobilenet_v3_large_100_224_fp32_1_tf_class_2024_7_29_14_57_ubuntus_3_onlylat.csv,Three Cores,One Core Load,0.042440043999931704,0.004852786983834944,2.354954151047785e-05
72,TFLite,0.0782631239480396,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/one/tf/lite-model_mobilenet_v3_large_100_224_fp32_1_tf_class_2024_8_16_23_10_ubuntus_False_onlylat.csv,Default,One Core Load,0.0780605814979935,0.0009240178164424116,8.538089251030021e-07
73,TFLite,0.0482589059050014,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/one/tf/lite-model_mobilenet_v3_large_100_224_fp32_1_tf_class_2024_7_29_14_55_ubuntus_2_onlylat.csv,Two Cores,One Core Load,0.0481981730000029,0.0006474219897575745,4.1915523282165697e-07
74,TFLite,0.4158321084219981,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/one/tf/lite-model_mobilenet_v3_large_100_224_fp32_1_tf_class_2024_7_29_14_59_ubuntus_4_onlylat.csv,Four Cores,One Core Load,0.4321477055000287,0.05271695344271993,0.0027790771802819005
75,ONNX,0.198314172831002,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/two/onnx/mobilenetv3_large_100_Opset17_onnx_class_2024_8_16_15_12_ubuntus_False_onlylat.csv,Default,Two Core Load,0.20689592749977231,0.03557464037085759,0.001265555037515851
76,ONNX,0.0989384927610117,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/two/onnx/mobilenetv3_large_100_Opset17_onnx_class_2024_7_29_19_40_ubuntus_2_onlylat.csv,Two Cores,Two Core Load,0.09883525600025675,0.0008493609499873803,7.214140233634652e-07
77,ONNX,0.1829838508889852,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/two/onnx/mobilenetv3_large_100_Opset17_onnx_class_2024_7_29_19_46_ubuntus_4_onlylat.csv,Four Cores,Two Core Load,0.17949950099955453,0.039376333813937126,0.0015504956646266083
78,ONNX,0.1440088065620029,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/two/onnx/mobilenetv3_large_100_Opset17_onnx_class_2024_7_29_19_42_ubuntus_3_onlylat.csv,Three Cores,Two Core Load,0.14069733850010374,0.030403857576050373,0.0009243945555047556
79,ONNX,0.1244575558350142,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/two/onnx/mobilenetv3_large_100_Opset17_onnx_class_2024_7_29_19_37_ubuntus_1_onlylat.csv,One Core,Two Core Load,0.1246785164998982,0.0008205600962992582,6.733188716386479e-07
80,OpenVINO,0.0613546758569754,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/two/openvino/mobilenet-v3-large-10-224-tf_FP32_ov_class_2024_7_29_19_57_ubuntus_4_onlylat.csv,Four Cores,Two Core Load,0.060344026500388254,0.0046572294898871505,2.168978652147453e-05
81,OpenVINO,0.0879977231440097,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/two/openvino/mobilenet-v3-large-10-224-tf_FP32_ov_class_2024_7_29_19_50_ubuntus_1_onlylat.csv,One Core,Two Core Load,0.0878501544998471,0.001330713661129445,1.7707988479165318e-06
82,OpenVINO,0.0637651922650019,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/two/openvino/mobilenet-v3-large-10-224-tf_FP32_ov_class_2024_7_29_19_55_ubuntus_3_onlylat.csv,Three Cores,Two Core Load,0.0627999719999934,0.00397435291968943,1.57954811302439e-05
83,OpenVINO,0.0637004108309995,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/two/openvino/mobilenet-v3-large-10-224-tf_FP32_ov_class_2025_5_18_17_15_ubuntus_2_onlylat.csv,Two Cores,Two Core Load,0.063501712499999,0.0010711161151612666,1.1472897321581637e-06
84,OpenVINO,0.0615807318019978,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/two/openvino/mobilenet-v3-large-10-224-tf_FP32_ov_class_2024_8_16_15_16_ubuntus_False_onlylat.csv,Default,Two Core Load,0.060882757499712156,0.004079520509986947,1.664248759140416e-05
