,Frameworks,Mean Latency [s],latency,Core Count,Load,Median Latency [s],Standard Deviation [s],Variance [s²]
0,ONNX,0.1161566853820005,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/default/onnx/mobilenetv3_large_100_Opset17_onnx_class_2024_8_15_13_29_ubuntus_1_onlylat.csv,One Core,No Load,0.11605752750000414,0.0006345037140195631,4.025949631046195e-07
1,ONNX,0.0820787913809908,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/default/onnx/mobilenetv3_large_100_Opset17_onnx_class_2024_5_23_10_44_ubuntus_4_onlylat.csv,Four Cores,No Load,0.08190364250003765,0.0009068307701145705,8.22342045626585e-07
2,ONNX,0.0847549268319987,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/default/onnx/mobilenetv3_large_100_Opset17_onnx_class_2024_5_23_10_15_ubuntus_3_onlylat.csv,Three Cores,No Load,0.08472235499999665,0.00038761532364886434,1.5024563912741387e-07
3,ONNX,0.0903953654509984,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/default/onnx/mobilenetv3_large_100_Opset17_onnx_class_2024_8_15_13_36_ubuntus_2_onlylat.csv,Two Cores,No Load,0.09036624899988505,0.0002763481718201719,7.636831206835126e-08
4,ONNX,0.082246985369999,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/default/onnx/mobilenetv3_large_100_Opset17_onnx_class_2024_8_15_13_27_ubuntus_False_onlylat.csv,Default,No Load,0.0821152309999888,0.0009089977462731889,8.262769027297368e-07
5,OpenVINO,0.0479397422809983,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/default/openvino/mobilenet-v3-large-10-224-tf_FP32_ov_class_2024_8_15_13_46_ubuntus_False_onlylat.csv,Default,No Load,0.04782501950001005,0.0010809323925112138,1.1684148371800166e-06
6,OpenVINO,0.0509913259010033,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/default/openvino/mobilenet-v3-large-10-224-tf_FP32_ov_class_2024_8_16_14_35_ubuntus_3_onlylat.csv,Three Cores,No Load,0.050935517000084404,0.0009431927610151289,8.89612584431342e-07
7,OpenVINO,0.0583515133789987,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/default/openvino/mobilenet-v3-large-10-224-tf_FP32_ov_class_2024_8_15_14_15_ubuntus_2_onlylat.csv,Two Cores,No Load,0.058313745000077646,0.00039163795627920086,1.5338028879854926e-07
8,OpenVINO,0.0805561009859916,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/default/openvino/mobilenet-v3-large-10-224-tf_FP32_ov_class_2024_8_15_14_13_ubuntus_1_onlylat.csv,One Core,No Load,0.08050123949988114,0.0006786142313822912,4.6051727503457786e-07
9,OpenVINO,0.048061176216996,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/default/openvino/mobilenet-v3-large-10-224-tf_FP32_ov_class_2024_8_16_14_37_ubuntus_4_onlylat.csv,Four Cores,No Load,0.0480225010001049,0.0005113113772478691,2.614393245031127e-07
10,Arm NN Delegate,0.0435639566129966,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/default/delegate/lite-model_mobilenet_v3_large_100_224_fp32_1_delegate_class_2024_7_1_19_11_ubuntus_4_onlylat.csv,Four Cores,No Load,0.0427721025000664,0.003582984201882733,1.2837775790941247e-05
11,Arm NN Delegate,0.0659913477109994,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/default/delegate/lite-model_mobilenet_v3_large_100_224_fp32_1_delegate_class_2024_7_1_18_47_ubuntus_1_onlylat.csv,One Core,No Load,0.06590599949998929,0.002955515825138088,8.735073792641675e-06
12,Arm NN Delegate,0.0511385932030022,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/default/delegate/lite-model_mobilenet_v3_large_100_224_fp32_1_delegate_class_2024_7_1_18_58_ubuntus_2_onlylat.csv,Two Cores,No Load,0.051043386500054994,0.0030094306294869092,9.056672713693975e-06
13,Arm NN Delegate,0.0434001170709797,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/default/delegate/lite-model_mobilenet_v3_large_100_224_fp32_1_delegate_class_2024_7_1_20_33_ubuntus_False_onlylat.csv,Default,No Load,0.0425131530000726,0.0035935214963251274,1.2913396744550783e-05
14,Arm NN Delegate,0.0456061271640016,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/default/delegate/lite-model_mobilenet_v3_large_100_224_fp32_1_delegate_class_2024_7_1_19_0_ubuntus_3_onlylat.csv,Three Cores,No Load,0.045480183000108754,0.002892693516665776,8.367675781360214e-06
15,PyTorch,0.2046591064470121,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/default/pytorch/mobilenet_v3_large_pytorch_class_2024_8_15_14_31_ubuntus_2_onlylat.csv,Two Cores,No Load,0.20057692199952726,0.03458366242818483,0.001196029706946643
16,PyTorch,0.1996326411289942,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/default/pytorch/mobilenet_v3_large_pytorch_class_2024_8_16_14_44_ubuntus_4_onlylat.csv,Four Cores,No Load,0.19717924549991034,0.03438324284700143,0.0011822073886758751
17,PyTorch,0.2086257464399923,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/default/pytorch/mobilenet_v3_large_pytorch_class_2024_8_15_14_20_ubuntus_False_onlylat.csv,Default,No Load,0.20699222249982085,0.04046881371545746,0.001637724883536398
18,PyTorch,0.2108486343010031,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/default/pytorch/mobilenet_v3_large_pytorch_class_2024_8_16_14_39_ubuntus_3_onlylat.csv,Three Cores,No Load,0.2092704740000499,0.04440657657214198,0.0019719440428575094
19,PyTorch,0.1643201923570013,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/default/pytorch/mobilenet_v3_large_pytorch_class_2024_8_15_14_26_ubuntus_1_onlylat.csv,One Core,No Load,0.15721952900003083,0.035079729170051595,0.0012305873986441689
20,TFLite,0.0373705926220081,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/default/tf/lite-model_mobilenet_v3_large_100_224_fp32_1_tf_class_2024_4_22_14_15_ubuntus_4_onlylat.csv,Four Cores,No Load,0.03733887399994265,0.0005181371922110485,2.684661499523491e-07
21,TFLite,0.043961000051006,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/default/tf/lite-model_mobilenet_v3_large_100_224_fp32_1_tf_class_2024_4_22_13_44_ubuntus_2_onlylat.csv,Two Cores,No Load,0.0439362349998191,0.0004463771607466969,1.9925256963628248e-07
22,TFLite,0.0383728447200005,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/default/tf/lite-model_mobilenet_v3_large_100_224_fp32_1_tf_class_2024_4_22_13_14_ubuntus_3_onlylat.csv,Three Cores,No Load,0.03834149749991405,0.0005199894057563157,2.703889820988064e-07
23,TFLite,0.0622351217420002,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/default/tf/lite-model_mobilenet_v3_large_100_224_fp32_1_tf_class_2024_4_22_12_41_ubuntus_1_onlylat.csv,One Core,No Load,0.0621490835000031,0.0008655509813480307,7.491785013125391e-07
24,TFLite,0.0631363391989879,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/default/tf/lite-model_mobilenet_v3_large_100_224_fp32_1_tf_class_2024_7_1_20_15_ubuntus_False_onlylat.csv,Default,No Load,0.06301157300003976,0.0006429456850723293,4.1337915395312685e-07
25,ONNX,0.1865504084169806,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/three/onnx/mobilenetv3_large_100_Opset17_onnx_class_2024_7_29_21_52_ubuntus_3_onlylat.csv,Three Cores,Three Core Load,0.18460739200008902,0.04772376740048731,0.0022775579748958155
26,ONNX,0.1527125218389901,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/three/onnx/mobilenetv3_large_100_Opset17_onnx_class_2024_7_29_21_47_ubuntus_2_onlylat.csv,Two Cores,Three Core Load,0.14222029350003135,0.03889634947639338,0.0015129260025897276
27,ONNX,0.2134092125419965,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/three/onnx/mobilenetv3_large_100_Opset17_onnx_class_2024_7_29_21_57_ubuntus_4_onlylat.csv,Four Cores,Three Core Load,0.2294614390002607,0.046597895108271586,0.002171363828521481
28,ONNX,0.2164648143620943,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/three/onnx/mobilenetv3_large_100_Opset17_onnx_class_2024_8_17_1_26_ubuntus_False_onlylat.csv,Default,Three Core Load,0.23103720500148478,0.04473928520850946,0.0020016036409683537
29,ONNX,0.1289522751729919,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/three/onnx/mobilenetv3_large_100_Opset17_onnx_class_2024_7_29_21_44_ubuntus_1_onlylat.csv,One Core,Three Core Load,0.12885851200007886,0.0014854680477751746,2.206615320960989e-06
30,OpenVINO,0.0681226615010091,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/three/openvino/mobilenet-v3-large-10-224-tf_FP32_ov_class_2024_7_29_22_13_ubuntus_4_onlylat.csv,Four Cores,Three Core Load,0.06706541950006789,0.00417266999971914,1.741117492655613e-05
31,OpenVINO,0.080084867484993,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/three/openvino/mobilenet-v3-large-10-224-tf_FP32_ov_class_2024_7_29_22_5_ubuntus_2_onlylat.csv,Two Cores,Three Core Load,0.07717876299966514,0.007505021764057344,5.6325351678974415e-05
32,OpenVINO,0.0689857582790718,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/three/openvino/mobilenet-v3-large-10-224-tf_FP32_ov_class_2024_8_17_1_30_ubuntus_False_onlylat.csv,Default,Three Core Load,0.06751209100184495,0.004980150756564527,2.4801901558110236e-05
33,OpenVINO,0.0735781894289739,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/three/openvino/mobilenet-v3-large-10-224-tf_FP32_ov_class_2024_7_29_22_9_ubuntus_3_onlylat.csv,Three Cores,Three Core Load,0.07231471499972025,0.0047239715874175916,2.231590755872868e-05
34,OpenVINO,0.0915103008259884,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/three/openvino/mobilenet-v3-large-10-224-tf_FP32_ov_class_2024_7_29_22_2_ubuntus_1_onlylat.csv,One Core,Three Core Load,0.0913452615000096,0.0021690098105869634,4.704603558422494e-06
35,Arm NN Delegate,0.0862069950459972,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/three/delegate/lite-model_mobilenet_v3_large_100_224_fp32_1_delegate_class_2024_7_29_21_39_ubuntus_3_onlylat.csv,Three Cores,Three Core Load,0.0883746915001211,0.007689890050325025,5.913440898608782e-05
36,Arm NN Delegate,0.0741350276910043,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/three/delegate/lite-model_mobilenet_v3_large_100_224_fp32_1_delegate_class_2024_7_29_21_32_ubuntus_1_onlylat.csv,One Core,Three Core Load,0.07386981099989495,0.003943999659733744,1.555513331597989e-05
37,Arm NN Delegate,0.0807639500869863,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/three/delegate/lite-model_mobilenet_v3_large_100_224_fp32_1_delegate_class_2024_7_29_21_42_ubuntus_4_onlylat.csv,Four Cores,Three Core Load,0.07672255099987521,0.008347438893819422,6.967973608604922e-05
38,Arm NN Delegate,0.0878180380900011,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/three/delegate/lite-model_mobilenet_v3_large_100_224_fp32_1_delegate_class_2024_8_16_23_15_ubuntus_False_onlylat.csv,Default,Three Core Load,0.09295612499772685,0.008561553412000598,7.330019682653907e-05
39,Arm NN Delegate,0.0839241199710122,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/three/delegate/lite-model_mobilenet_v3_large_100_224_fp32_1_delegate_class_2024_7_29_21_37_ubuntus_2_onlylat.csv,Two Cores,Three Core Load,0.08369612249998676,0.003585167291322185,1.2853424506766452e-05
40,PyTorch,0.5526156583060292,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/three/pytorch/mobilenet_v3_large_pytorch_class_2024_8_11_19_33_ubuntus_2_onlylat.csv,Two Cores,Three Core Load,0.5576709099996151,0.08633472754710562,0.00745368518063296
41,PyTorch,0.3713758298459843,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/three/pytorch/mobilenet_v3_large_pytorch_class_2024_8_11_19_25_ubuntus_1_onlylat.csv,One Core,Three Core Load,0.3775615139998081,0.06346944503372959,0.0040283704528896215
42,PyTorch,0.6349467154579834,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/three/pytorch/mobilenet_v3_large_pytorch_class_2024_8_11_19_44_ubuntus_3_onlylat.csv,Three Cores,Three Core Load,0.6353288385007545,0.09910803378321371,0.009822402360374632
43,PyTorch,0.7343681943449847,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/three/pytorch/mobilenet_v3_large_pytorch_class_2024_8_11_19_56_ubuntus_4_onlylat.csv,Four Cores,Three Core Load,0.7319985135009119,0.11895500337983334,0.014150292829096162
44,PyTorch,0.7353546862750009,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/three/pytorch/mobilenet_v3_large_pytorch_class_2024_8_17_1_32_ubuntus_False_onlylat.csv,Default,Three Core Load,0.7341593130004185,0.11650668006416434,0.013573806499573548
45,TFLite,0.6065201287330015,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/three/tf/lite-model_mobilenet_v3_large_100_224_fp32_1_tf_class_2024_7_29_20_9_ubuntus_2_onlylat.csv,Two Cores,Three Core Load,0.6223000054999943,0.18028567528620115,0.03250292471340156
46,TFLite,0.0755894631151531,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/three/tf/lite-model_mobilenet_v3_large_100_224_fp32_1_tf_class_2024_8_16_23_12_ubuntus_False_onlylat.csv,Default,Three Core Load,0.0753919270027836,0.001451197722137019,2.1059748287356727e-06
47,TFLite,0.0757335246969997,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/three/tf/lite-model_mobilenet_v3_large_100_224_fp32_1_tf_class_2024_7_29_20_6_ubuntus_1_onlylat.csv,One Core,Three Core Load,0.0752579975000031,0.00473010800433552,2.2373921732678953e-05
48,TFLite,0.8444606675689961,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/three/tf/lite-model_mobilenet_v3_large_100_224_fp32_1_tf_class_2024_7_29_20_25_ubuntus_3_onlylat.csv,Three Cores,Three Core Load,0.8515474125000537,0.15093486585657467,0.022781333731142193
49,TFLite,0.9266758282720088,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/three/tf/lite-model_mobilenet_v3_large_100_224_fp32_1_tf_class_2024_7_29_20_40_ubuntus_4_onlylat.csv,Four Cores,Three Core Load,0.9272862454999995,0.15205266100604842,0.02312001171902028
50,ONNX,0.0938405806019977,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/one/onnx/mobilenetv3_large_100_Opset17_onnx_class_2024_7_29_16_55_ubuntus_2_onlylat.csv,Two Cores,One Core Load,0.09379061150002596,0.00040692383474134116,1.6558700728059834e-07
51,ONNX,0.1492147220920092,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/one/onnx/mobilenetv3_large_100_Opset17_onnx_class_2024_8_16_14_53_ubuntus_False_onlylat.csv,Default,One Core Load,0.1354754195001533,0.04577004890286919,0.002094897376571037
52,ONNX,0.139374537200998,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/one/onnx/mobilenetv3_large_100_Opset17_onnx_class_2024_7_29_17_0_ubuntus_4_onlylat.csv,Four Cores,One Core Load,0.13537648200002644,0.027981140808071372,0.0007829442409211171
53,ONNX,0.1177095404899984,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/one/onnx/mobilenetv3_large_100_Opset17_onnx_class_2024_7_29_16_52_ubuntus_1_onlylat.csv,One Core,One Core Load,0.11767587200000659,0.00039481365384419086,1.5587782126180057e-07
54,ONNX,0.0898111342210029,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/one/onnx/mobilenetv3_large_100_Opset17_onnx_class_2024_7_29_16_57_ubuntus_3_onlylat.csv,Three Cores,One Core Load,0.08962177299997615,0.002959384841597535,8.757958640677268e-06
55,OpenVINO,0.0551402397980013,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/one/openvino/mobilenet-v3-large-10-224-tf_FP32_ov_class_2024_8_16_15_5_ubuntus_False_onlylat.csv,Default,One Core Load,0.054707439500134555,0.0020795692740228165,4.3246083654597845e-06
56,OpenVINO,0.0535334376700006,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/one/openvino/mobilenet-v3-large-10-224-tf_FP32_ov_class_2024_7_29_17_13_ubuntus_3_onlylat.csv,Three Cores,One Core Load,0.05340100349997095,0.0009133294092696593,8.34170609836865e-07
57,OpenVINO,0.0841075399879989,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/one/openvino/mobilenet-v3-large-10-224-tf_FP32_ov_class_2024_7_29_17_9_ubuntus_1_onlylat.csv,One Core,One Core Load,0.0840610955000329,0.0007719356998937372,5.95884724770434e-07
58,OpenVINO,0.0610505718399999,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/one/openvino/mobilenet-v3-large-10-224-tf_FP32_ov_class_2024_7_29_17_11_ubuntus_2_onlylat.csv,Two Cores,One Core Load,0.06100248550001195,0.0005283819787931586,2.791875155133739e-07
59,OpenVINO,0.0552967977470008,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/one/openvino/mobilenet-v3-large-10-224-tf_FP32_ov_class_2024_7_29_17_15_ubuntus_4_onlylat.csv,Four Cores,One Core Load,0.05476557899999075,0.002459656577579626,6.049910479630718e-06
60,Arm NN Delegate,0.0694007530249989,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/one/delegate/lite-model_mobilenet_v3_large_100_224_fp32_1_delegate_class_2024_7_29_15_11_ubuntus_1_onlylat.csv,One Core,One Core Load,0.0692918699999154,0.003459403627373242,1.1967473457083146e-05
