,Unnamed: 0,Frameworks,Mean Latency [s],latency,Core Count,Load,Median Latency [s],Standard Deviation [s],Variance [s²]
9,9,OpenVINO,0.048061176216996,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/default/openvino/mobilenet-v3-large-10-224-tf_FP32_ov_class_2024_8_16_14_37_ubuntus_4_onlylat.csv,Four Cores,No Load,0.0480225010001049,0.0005113113772478,2.614393245031127e-07
58,58,OpenVINO,0.0610505718399999,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/one/openvino/mobilenet-v3-large-10-224-tf_FP32_ov_class_2024_7_29_17_11_ubuntus_2_onlylat.csv,Two Cores,One Core Load,0.0610024855000119,0.0005283819787931,2.791875155133739e-07
57,57,OpenVINO,0.0841075399879989,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/one/openvino/mobilenet-v3-large-10-224-tf_FP32_ov_class_2024_7_29_17_9_ubuntus_1_onlylat.csv,One Core,One Core Load,0.0840610955000329,0.0007719356998937,5.95884724770434e-07
56,56,OpenVINO,0.0535334376700006,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/one/openvino/mobilenet-v3-large-10-224-tf_FP32_ov_class_2024_7_29_17_13_ubuntus_3_onlylat.csv,Three Cores,One Core Load,0.0534010034999709,0.0009133294092696,8.34170609836865e-07
52,52,ONNX,0.139374537200998,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/one/onnx/mobilenetv3_large_100_Opset17_onnx_class_2024_7_29_17_0_ubuntus_4_onlylat.csv,Four Cores,One Core Load,0.1353764820000264,0.0279811408080713,0.0007829442409211
54,54,ONNX,0.0898111342210029,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/one/onnx/mobilenetv3_large_100_Opset17_onnx_class_2024_7_29_16_57_ubuntus_3_onlylat.csv,Three Cores,One Core Load,0.0896217729999761,0.0029593848415975,8.757958640677268e-06
53,53,ONNX,0.1177095404899984,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/one/onnx/mobilenetv3_large_100_Opset17_onnx_class_2024_7_29_16_52_ubuntus_1_onlylat.csv,One Core,One Core Load,0.1176758720000065,0.0003948136538441,1.5587782126180057e-07
59,59,OpenVINO,0.0552967977470008,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/one/openvino/mobilenet-v3-large-10-224-tf_FP32_ov_class_2024_7_29_17_15_ubuntus_4_onlylat.csv,Four Cores,One Core Load,0.0547655789999907,0.0024596565775796,6.049910479630718e-06
55,55,OpenVINO,0.0551402397980013,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/one/openvino/mobilenet-v3-large-10-224-tf_FP32_ov_class_2024_8_16_15_5_ubuntus_False_onlylat.csv,Default,One Core Load,0.0547074395001345,0.0020795692740228,4.3246083654597845e-06
60,60,Arm NN Delegate,0.0694007530249989,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/one/delegate/lite-model_mobilenet_v3_large_100_224_fp32_1_delegate_class_2024_7_29_15_11_ubuntus_1_onlylat.csv,One Core,One Core Load,0.0692918699999154,0.0034594036273732,1.1967473457083146e-05
64,64,Arm NN Delegate,0.0612019066190036,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/one/delegate/lite-model_mobilenet_v3_large_100_224_fp32_1_delegate_class_2024_8_16_14_51_ubuntus_False_onlylat.csv,Default,One Core Load,0.0589537265000217,0.00650735288264,4.2345641539204066e-05
62,62,Arm NN Delegate,0.0538901142509943,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/one/delegate/lite-model_mobilenet_v3_large_100_224_fp32_1_delegate_class_2024_7_29_15_14_ubuntus_2_onlylat.csv,Two Cores,One Core Load,0.0536977904999957,0.0036007795647376,1.296561347383224e-05
63,63,Arm NN Delegate,0.058828134468998,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/one/delegate/lite-model_mobilenet_v3_large_100_224_fp32_1_delegate_class_2024_7_29_15_22_ubuntus_4_onlylat.csv,Four Cores,One Core Load,0.05892790699977,0.0034276287425667,1.1748638796869576e-05
70,70,TFLite,0.0671744832719994,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/one/tf/lite-model_mobilenet_v3_large_100_224_fp32_1_tf_class_2024_7_29_14_52_ubuntus_1_onlylat.csv,One Core,One Core Load,0.0671482129999674,0.0005379744068765,2.894164624541444e-07
71,71,TFLite,0.0427529789760004,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/one/tf/lite-model_mobilenet_v3_large_100_224_fp32_1_tf_class_2024_7_29_14_57_ubuntus_3_onlylat.csv,Three Cores,One Core Load,0.0424400439999317,0.0048527869838349,2.354954151047785e-05
72,72,TFLite,0.0782631239480396,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/one/tf/lite-model_mobilenet_v3_large_100_224_fp32_1_tf_class_2024_8_16_23_10_ubuntus_False_onlylat.csv,Default,One Core Load,0.0780605814979935,0.0009240178164424,8.538089251030021e-07
73,73,TFLite,0.0482589059050014,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/one/tf/lite-model_mobilenet_v3_large_100_224_fp32_1_tf_class_2024_7_29_14_55_ubuntus_2_onlylat.csv,Two Cores,One Core Load,0.0481981730000029,0.0006474219897575,4.1915523282165697e-07
74,74,TFLite,0.4158321084219981,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/one/tf/lite-model_mobilenet_v3_large_100_224_fp32_1_tf_class_2024_7_29_14_59_ubuntus_4_onlylat.csv,Four Cores,One Core Load,0.4321477055000287,0.0527169534427199,0.0027790771802819
51,51,ONNX,0.1492147220920092,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/one/onnx/mobilenetv3_large_100_Opset17_onnx_class_2024_8_16_14_53_ubuntus_False_onlylat.csv,Default,One Core Load,0.1354754195001533,0.0457700489028691,0.002094897376571
61,61,Arm NN Delegate,0.0481659273099944,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/one/delegate/lite-model_mobilenet_v3_large_100_224_fp32_1_delegate_class_2024_7_29_15_20_ubuntus_3_onlylat.csv,Three Cores,One Core Load,0.0479547850000016,0.0033601535772223,1.1290632062519982e-05
50,50,ONNX,0.0938405806019977,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/one/onnx/mobilenetv3_large_100_Opset17_onnx_class_2024_7_29_16_55_ubuntus_2_onlylat.csv,Two Cores,One Core Load,0.0937906115000259,0.0004069238347413,1.6558700728059836e-07
49,49,TFLite,0.9266758282720088,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/three/tf/lite-model_mobilenet_v3_large_100_224_fp32_1_tf_class_2024_7_29_20_40_ubuntus_4_onlylat.csv,Four Cores,Three Core Load,0.9272862454999996,0.1520526610060484,0.0231200117190202
48,48,TFLite,0.8444606675689961,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/three/tf/lite-model_mobilenet_v3_large_100_224_fp32_1_tf_class_2024_7_29_20_25_ubuntus_3_onlylat.csv,Three Cores,Three Core Load,0.8515474125000537,0.1509348658565746,0.0227813337311421
25,25,ONNX,0.1865504084169806,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/three/onnx/mobilenetv3_large_100_Opset17_onnx_class_2024_7_29_21_52_ubuntus_3_onlylat.csv,Three Cores,Three Core Load,0.184607392000089,0.0477237674004873,0.0022775579748958
26,26,ONNX,0.1527125218389901,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/three/onnx/mobilenetv3_large_100_Opset17_onnx_class_2024_7_29_21_47_ubuntus_2_onlylat.csv,Two Cores,Three Core Load,0.1422202935000313,0.0388963494763933,0.0015129260025897
27,27,ONNX,0.2134092125419965,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/three/onnx/mobilenetv3_large_100_Opset17_onnx_class_2024_7_29_21_57_ubuntus_4_onlylat.csv,Four Cores,Three Core Load,0.2294614390002607,0.0465978951082715,0.0021713638285214
28,28,ONNX,0.2164648143620943,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/three/onnx/mobilenetv3_large_100_Opset17_onnx_class_2024_8_17_1_26_ubuntus_False_onlylat.csv,Default,Three Core Load,0.2310372050014847,0.0447392852085094,0.0020016036409683
29,29,ONNX,0.1289522751729919,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/three/onnx/mobilenetv3_large_100_Opset17_onnx_class_2024_7_29_21_44_ubuntus_1_onlylat.csv,One Core,Three Core Load,0.1288585120000788,0.0014854680477751,2.206615320960989e-06
31,31,OpenVINO,0.080084867484993,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/three/openvino/mobilenet-v3-large-10-224-tf_FP32_ov_class_2024_7_29_22_5_ubuntus_2_onlylat.csv,Two Cores,Three Core Load,0.0771787629996651,0.0075050217640573,5.6325351678974415e-05
32,32,OpenVINO,0.0689857582790718,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/three/openvino/mobilenet-v3-large-10-224-tf_FP32_ov_class_2024_8_17_1_30_ubuntus_False_onlylat.csv,Default,Three Core Load,0.0675120910018449,0.0049801507565645,2.4801901558110236e-05
33,33,OpenVINO,0.0735781894289739,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/three/openvino/mobilenet-v3-large-10-224-tf_FP32_ov_class_2024_7_29_22_9_ubuntus_3_onlylat.csv,Three Cores,Three Core Load,0.0723147149997202,0.0047239715874175,2.231590755872868e-05
30,30,OpenVINO,0.0681226615010091,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/three/openvino/mobilenet-v3-large-10-224-tf_FP32_ov_class_2024_7_29_22_13_ubuntus_4_onlylat.csv,Four Cores,Three Core Load,0.0670654195000678,0.0041726699997191,1.741117492655613e-05
35,35,Arm NN Delegate,0.0862069950459972,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/three/delegate/lite-model_mobilenet_v3_large_100_224_fp32_1_delegate_class_2024_7_29_21_39_ubuntus_3_onlylat.csv,Three Cores,Three Core Load,0.0883746915001211,0.007689890050325,5.913440898608782e-05
34,34,OpenVINO,0.0915103008259884,/Users/marounel-chayeb/BacArbeit/final_results/results/class/stress-ng/three/openvino/mobilenet-v3-large-10-224-tf_FP32_ov_class_2024_7_29_22_2_ubuntus_1_onlylat.csv,One Core,Three Core Load,0.0913452615000096,0.0021690098105869,4.704603558422494e-06
