,Unnamed: 0,Frameworks,latency,thread,Load
4468,4468,ONNX,0.0818194570000514,Default,No Load
4437,4437,ONNX,0.0829905760000428,Default,No Load
4436,4436,ONNX,0.0819384970000101,Default,No Load
4435,4435,ONNX,0.0820716619999757,Default,No Load
4402,4402,ONNX,0.0824566570000797,Default,No Load
4401,4401,ONNX,0.0821679020000374,Default,No Load
4400,4400,ONNX,0.0819824229999994,Default,No Load
4399,4399,ONNX,0.0818954239999811,Default,No Load
4398,4398,ONNX,0.081937608999965,Default,No Load
4397,4397,ONNX,0.0820631070000672,Default,No Load
4396,4396,ONNX,0.0818512580000287,Default,No Load
4395,4395,ONNX,0.0818414780000011,Default,No Load
4394,4394,ONNX,0.0818935300000021,Default,No Load
4393,4393,ONNX,0.082057232000011,Default,No Load
4392,4392,ONNX,0.0822134329999926,Default,No Load
4391,4391,ONNX,0.0823525800000197,Default,No Load
4390,4390,ONNX,0.0828243509999993,Default,No Load
4389,4389,ONNX,0.0819912329999397,Default,No Load
4388,4388,ONNX,0.0817722729999559,Default,No Load
4387,4387,ONNX,0.0820106030000715,Default,No Load
4386,4386,ONNX,0.0820351579999396,Default,No Load
4385,4385,ONNX,0.0819492660000378,Default,No Load
4384,4384,ONNX,0.0819855429999734,Default,No Load
4383,4383,ONNX,0.0819334880000042,Default,No Load
4382,4382,ONNX,0.0818998409999949,Default,No Load
4381,4381,ONNX,0.0819992829999591,Default,No Load
4380,4380,ONNX,0.0819223769999553,Default,No Load
4379,4379,ONNX,0.0819240260000242,Default,No Load
4378,4378,ONNX,0.0818346380000321,Default,No Load
4377,4377,ONNX,0.0821859290000475,Default,No Load
4376,4376,ONNX,0.0819019690000004,Default,No Load
4403,4403,ONNX,0.0822580299999344,Default,No Load
4404,4404,ONNX,0.0821044770000298,Default,No Load
4405,4405,ONNX,0.0819739089999984,Default,No Load
4406,4406,ONNX,0.0821411110000553,Default,No Load
4434,4434,ONNX,0.0819126459999779,Default,No Load
4433,4433,ONNX,0.0820456029999832,Default,No Load
4432,4432,ONNX,0.0818710309999914,Default,No Load
4431,4431,ONNX,0.0821884340000451,Default,No Load
4430,4430,ONNX,0.0823748949999298,Default,No Load
4429,4429,ONNX,0.0822991549999869,Default,No Load
4428,4428,ONNX,0.0823539689999961,Default,No Load
4427,4427,ONNX,0.0819847509999363,Default,No Load
4426,4426,ONNX,0.0819973440000012,Default,No Load
4425,4425,ONNX,0.0818367360000138,Default,No Load
4424,4424,ONNX,0.0818215130000226,Default,No Load
4423,4423,ONNX,0.0828164399999877,Default,No Load
4422,4422,ONNX,0.0822016509999912,Default,No Load
4374,4374,ONNX,0.0820647599999802,Default,No Load
4421,4421,ONNX,0.0822464650000256,Default,No Load
4419,4419,ONNX,0.0820574499999793,Default,No Load
4418,4418,ONNX,0.0820536719999154,Default,No Load
4417,4417,ONNX,0.0822125219999634,Default,No Load
4416,4416,ONNX,0.0824810369999795,Default,No Load
4415,4415,ONNX,0.0822424840000621,Default,No Load
4414,4414,ONNX,0.0820248920000494,Default,No Load
4413,4413,ONNX,0.0820720010000286,Default,No Load
4412,4412,ONNX,0.0818955769999547,Default,No Load
4411,4411,ONNX,0.0819447060000584,Default,No Load
4410,4410,ONNX,0.0819275579999612,Default,No Load
4409,4409,ONNX,0.0820264090000364,Default,No Load
4408,4408,ONNX,0.0829563959999859,Default,No Load
4407,4407,ONNX,0.0817976710000039,Default,No Load
4420,4420,ONNX,0.0818623599999455,Default,No Load
4249,4249,ONNX,0.0823698189999504,Default,No Load
4248,4248,ONNX,0.0833575269999755,Default,No Load
4247,4247,ONNX,0.0820296010000447,Default,No Load
4089,4089,ONNX,0.0820421029999352,Default,No Load
4088,4088,ONNX,0.0822719330000154,Default,No Load
4087,4087,ONNX,0.0825941070000908,Default,No Load
4086,4086,ONNX,0.0823663150000584,Default,No Load
4085,4085,ONNX,0.0821476140000641,Default,No Load
