,ncalls,tottime,percall_tot,cumtime,percall_cum,filename:lineno(function)
0,        1,   0.001,   0.001,   0.856,   0.856,/home/pi/sambashare/BacArbeit/scripts/inf/classification.py:15(run_tf)
1,       10,   0.463,   0.046,   0.463,   0.046,/home/pi/.local/lib/python3.10/site-packages/tflite_runtime/interpreter.py:928(invoke)
2,       10,   0.060,   0.006,   0.240,   0.024,/home/pi/sambashare/BacArbeit/scripts/lib/preprocess.py:2(preprocess_tflite_moobilenet)
3,       10,   0.001,   0.000,   0.158,   0.016,/home/pi/.local/lib/python3.10/site-packages/PIL/Image.py:2118(resize)
4,        2,   0.000,   0.000,   0.098,   0.049,{built-in method builtins.print}
5,        1,   0.000,   0.000,   0.098,   0.098,/home/pi/.local/lib/python3.10/site-packages/pandas/core/frame.py:1126(__repr__)
6,        1,   0.000,   0.000,   0.098,   0.098,/home/pi/.local/lib/python3.10/site-packages/pandas/core/frame.py:1232(to_string)
7,        1,   0.000,   0.000,   0.097,   0.097,/home/pi/.local/lib/python3.10/site-packages/pandas/io/formats/format.py:1077(to_string)
8,        1,   0.000,   0.000,   0.096,   0.096,/home/pi/.local/lib/python3.10/site-packages/pandas/io/formats/string.py:28(to_string)
9,        1,   0.000,   0.000,   0.096,   0.096,/home/pi/.local/lib/python3.10/site-packages/pandas/io/formats/string.py:40(_get_string_representation)
10,       10,   0.086,   0.009,   0.086,   0.009,{method 'resize' of 'ImagingCore' objects}
11,        1,   0.072,   0.072,   0.072,   0.072,/home/pi/.local/lib/python3.10/site-packages/tflite_runtime/interpreter.py:529(allocate_tensors)
12,       20,   0.002,   0.000,   0.071,   0.004,/home/pi/.local/lib/python3.10/site-packages/PIL/ImageFile.py:175(load)
13,        1,   0.000,   0.000,   0.067,   0.067,/home/pi/.local/lib/python3.10/site-packages/pandas/io/formats/string.py:153(_fit_strcols_to_terminal_width)
14,       30,   0.060,   0.002,   0.060,   0.002,{method 'decode' of 'ImagingDecoder' objects}
15,       10,   0.000,   0.000,   0.057,   0.006,/home/pi/sambashare/BacArbeit/scripts/lib/data.py:113(create_pandas_dataframe)
16,       10,   0.000,   0.000,   0.056,   0.006,/home/pi/.local/lib/python3.10/site-packages/pandas/core/frame.py:668(__init__)
17,       10,   0.000,   0.000,   0.055,   0.006,/home/pi/.local/lib/python3.10/site-packages/pandas/core/internals/construction.py:423(dict_to_mgr)
18,       10,   0.000,   0.000,   0.048,   0.005,/home/pi/.local/lib/python3.10/site-packages/pandas/core/internals/construction.py:96(arrays_to_mgr)
19,        2,   0.000,   0.000,   0.040,   0.020,/home/pi/.local/lib/python3.10/site-packages/pandas/io/formats/string.py:34(_get_strcols)
20,        2,   0.000,   0.000,   0.040,   0.020,/home/pi/.local/lib/python3.10/site-packages/pandas/io/formats/format.py:611(get_strcols)
21,        2,   0.001,   0.000,   0.039,   0.020,/home/pi/.local/lib/python3.10/site-packages/pandas/io/formats/format.py:843(_get_strcols_without_index)
22,       23,   0.001,   0.000,   0.032,   0.001,/home/pi/.local/lib/python3.10/site-packages/pandas/io/formats/format.py:890(format_col)
23,        1,   0.000,   0.000,   0.031,   0.031,/home/pi/.local/lib/python3.10/site-packages/pandas/io/formats/string.py:163(<listcomp>)
24,      232,   0.004,   0.000,   0.030,   0.000,/home/pi/.local/lib/python3.10/site-packages/pandas/core/construction.py:518(sanitize_array)
25,       10,   0.000,   0.000,   0.023,   0.002,/home/pi/.local/lib/python3.10/site-packages/pandas/core/internals/managers.py:2068(create_block_manager_from_column_arrays)
26,       10,   0.001,   0.000,   0.022,   0.002,/home/pi/.local/lib/python3.10/site-packages/pandas/core/internals/construction.py:596(_homogenize)
27,       23,   0.001,   0.000,   0.020,   0.001,/home/pi/.local/lib/python3.10/site-packages/pandas/io/formats/format.py:1217(format_array)
28,       41,   0.002,   0.000,   0.019,   0.000,/home/pi/.local/lib/python3.10/site-packages/pandas/core/series.py:371(__init__)
29,        1,   0.000,   0.000,   0.018,   0.018,/home/pi/sambashare/BacArbeit/scripts/lib/data.py:117(store_pandas_data_frame_as_csv)
30,        1,   0.000,   0.000,   0.018,   0.018,/home/pi/.local/lib/python3.10/site-packages/pandas/core/generic.py:3720(to_csv)
31,        1,   0.000,   0.000,   0.018,   0.018,/home/pi/.local/lib/python3.10/site-packages/pandas/io/formats/format.py:1103(to_csv)
32,       23,   0.000,   0.000,   0.017,   0.001,/home/pi/.local/lib/python3.10/site-packages/pandas/io/formats/format.py:1328(get_result)
33,        1,   0.000,   0.000,   0.016,   0.016,/home/pi/.local/lib/python3.10/site-packages/pandas/io/formats/csvs.py:242(save)
34,       19,   0.000,   0.000,   0.016,   0.001,/home/pi/.local/lib/python3.10/site-packages/pandas/core/strings/accessor.py:3022(len)
35,      8/4,   0.000,   0.000,   0.015,   0.004,<frozen importlib._bootstrap>:1022(_find_and_load)
36,      200,   0.001,   0.000,   0.015,   0.000,/home/pi/.local/lib/python3.10/site-packages/pandas/core/dtypes/cast.py:119(maybe_convert_platform)
37,      8/4,   0.000,   0.000,   0.015,   0.004,<frozen importlib._bootstrap>:987(_find_and_load_unlocked)
38,      293,   0.009,   0.000,   0.015,   0.000,{pandas._libs.lib.maybe_convert_objects}
