,ncalls,tottime,percall_tot,cumtime,percall_cum,filename:lineno(function)
0,        1,   0.001,   0.001,   0.829,   0.829,/home/pi/sambashare/BacArbeit/scripts/inf/classification.py:15(run_tf)
1,       10,   0.435,   0.044,   0.435,   0.044,/home/pi/.local/lib/python3.10/site-packages/tflite_runtime/interpreter.py:928(invoke)
2,       10,   0.059,   0.006,   0.240,   0.024,/home/pi/sambashare/BacArbeit/scripts/lib/preprocess.py:2(preprocess_tflite_moobilenet)
3,       10,   0.001,   0.000,   0.158,   0.016,/home/pi/.local/lib/python3.10/site-packages/PIL/Image.py:2118(resize)
4,        2,   0.000,   0.000,   0.099,   0.049,{built-in method builtins.print}
5,        1,   0.000,   0.000,   0.098,   0.098,/home/pi/.local/lib/python3.10/site-packages/pandas/core/frame.py:1126(__repr__)
6,        1,   0.000,   0.000,   0.098,   0.098,/home/pi/.local/lib/python3.10/site-packages/pandas/core/frame.py:1232(to_string)
7,        1,   0.000,   0.000,   0.097,   0.097,/home/pi/.local/lib/python3.10/site-packages/pandas/io/formats/format.py:1077(to_string)
8,        1,   0.000,   0.000,   0.096,   0.096,/home/pi/.local/lib/python3.10/site-packages/pandas/io/formats/string.py:28(to_string)
9,        1,   0.000,   0.000,   0.096,   0.096,/home/pi/.local/lib/python3.10/site-packages/pandas/io/formats/string.py:40(_get_string_representation)
10,       10,   0.086,   0.009,   0.086,   0.009,{method 'resize' of 'ImagingCore' objects}
11,        1,   0.073,   0.073,   0.073,   0.073,/home/pi/.local/lib/python3.10/site-packages/tflite_runtime/interpreter.py:529(allocate_tensors)
12,       20,   0.002,   0.000,   0.071,   0.004,/home/pi/.local/lib/python3.10/site-packages/PIL/ImageFile.py:175(load)
13,        1,   0.000,   0.000,   0.065,   0.065,/home/pi/.local/lib/python3.10/site-packages/pandas/io/formats/string.py:153(_fit_strcols_to_terminal_width)
14,       30,   0.061,   0.002,   0.061,   0.002,{method 'decode' of 'ImagingDecoder' objects}
15,       10,   0.000,   0.000,   0.057,   0.006,/home/pi/sambashare/BacArbeit/scripts/lib/data.py:113(create_pandas_dataframe)
16,       10,   0.000,   0.000,   0.057,   0.006,/home/pi/.local/lib/python3.10/site-packages/pandas/core/frame.py:668(__init__)
17,       10,   0.000,   0.000,   0.055,   0.006,/home/pi/.local/lib/python3.10/site-packages/pandas/core/internals/construction.py:423(dict_to_mgr)
18,       10,   0.000,   0.000,   0.048,   0.005,/home/pi/.local/lib/python3.10/site-packages/pandas/core/internals/construction.py:96(arrays_to_mgr)
19,        2,   0.000,   0.000,   0.041,   0.020,/home/pi/.local/lib/python3.10/site-packages/pandas/io/formats/string.py:34(_get_strcols)
20,        2,   0.000,   0.000,   0.040,   0.020,/home/pi/.local/lib/python3.10/site-packages/pandas/io/formats/format.py:611(get_strcols)
21,        2,   0.001,   0.000,   0.039,   0.020,/home/pi/.local/lib/python3.10/site-packages/pandas/io/formats/format.py:843(_get_strcols_without_index)
